experiment_id,experiment_type,repetition,number_of_points,angle_error,intersection_angle,status,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,centroid_x,centroid_y,centroid_error_bound,cover_center_x,cover_center_y,localization_error,valid_point_count,leaf_count,boundary_width,visited_cells,truth_feasible,runtime_s
number_000_2,number,0,2,1.0,90,sampled,1235.7856349945068,1232.589282989502,1238.9819869995117,49.92466018859106,50.01701568986806,25.00850784493403,24.96233009429553,-16.90578572676676,158.6993114125208,0.2580699155632413,-16.8046875,158.431640625,9.100307458205847,17977,10306,0.03515625,60744,True,0.1355498000048101
number_000_3,number,0,3,1.0,90,sampled,984.1578483581543,981.3519058227539,986.9637908935547,49.92466018859106,50.01701568986806,25.00850784493403,24.96233009429553,-13.344252079526127,159.36564840876392,0.28439720507056754,-16.8046875,158.431640625,8.929969506407256,15810,9064,0.03515625,58256,True,0.11411909991875291
number_000_4,number,0,4,1.0,90,sampled,970.239990234375,967.4380645751953,973.0419158935547,49.92466018859106,50.01701568986806,25.00850784493403,24.96233009429553,-13.20273748019879,159.56503780851818,0.28805328397048274,-16.8046875,158.431640625,8.791664161559941,15848,9082,0.03515625,58256,True,0.11510389996692538
number_000_5,number,0,5,1.0,90,sampled,256.31594467163086,254.72618865966797,257.90570068359375,26.361432965797857,26.4562168826755,13.976795941438743,13.917992951858562,-19.451722130941725,171.8940675645893,0.3261574267769026,-16.70966987084323,171.6148421726544,5.162796143864255,8864,5103,0.03515625,50352,True,0.0668021000456065
number_000_6,number,0,6,1.0,90,sampled,256.31594467163086,254.72618865966797,257.90570068359375,26.361432965797857,26.4562168826755,13.976795941438743,13.917992951858562,-19.451722130941725,171.8940675645893,0.3261574267769026,-16.70966987084323,171.6148421726544,5.162796143864255,8864,5103,0.03515625,50352,True,0.07269350008573383
number_001_2,number,1,2,1.0,90,sampled,1228.6026878356934,1225.658935546875,1231.5464401245117,49.649618657886336,49.75205629019306,24.87602814509653,24.824809328943168,-181.75598176880996,99.03614052572321,0.23784361645813132,-182.00390625,99.193359375,19.20601149437756,16497,9461,0.03515625,59044,True,0.11725839995779097
number_001_3,number,1,3,1.0,90,sampled,732.8810749053955,730.2869453430176,735.4752044677734,46.41690884338063,46.51883980351444,23.25941990175722,23.208454421690316,-176.26097089944312,103.03861761317671,0.32815762328560627,-179.701171875,99.66796875,12.52307854925293,14540,8344,0.03515625,56752,True,0.10740330000407994
number_001_4,number,1,4,1.0,90,sampled,46.96377182006836,46.233009338378906,47.69453430175781,13.579166982548724,13.700702309531948,6.850351154765974,6.789583491274362,-170.89925595996434,116.02034203457704,0.41983675350544275,-172.142578125,114.1171875,4.500847992938851,3979,2312,0.03515625,44736,True,0.03298690007068217
number_001_5,number,1,5,1.0,90,sampled,46.96377182006836,46.233009338378906,47.69453430175781,13.579166982548724,13.700702309531948,6.850351154765974,6.789583491274362,-170.89925595996434,116.02034203457704,0.41983675350544275,-172.142578125,114.1171875,4.500847992938851,3979,2312,0.03515625,44736,True,0.03320920001715422
number_001_6,number,1,6,1.0,90,sampled,35.90438461303711,35.27002716064453,36.53874206542969,10.858473223011755,10.980012247047473,5.584443983764351,5.518873736694408,-170.10497700382078,115.3819935960579,0.3812530044851412,-170.4433492537829,114.23680328240516,3.512178868420685,3446,2004,0.03515625,44112,True,0.03060679999180138
number_002_2,number,2,2,1.0,90,sampled,1251.1767597198486,1247.9504356384277,1254.4030838012695,50.5249560794328,50.62647702923443,25.313238514617215,25.2624780397164,-259.99746281175186,-77.13422875341855,0.2604225453622975,-259.875,-77.396484375,16.733130204620412,18185,10422,0.03515625,60868,True,0.12940219999291003
number_002_3,number,2,3,1.0,90,sampled,600.0168685913086,597.6228103637695,602.4109268188477,44.68504589251325,44.80546482679012,22.40273241339506,22.342522946256626,-268.851598369137,-77.19559441404759,0.3561253188873363,-263.794921875,-75.69140625,15.481503825672268,13418,7701,0.03515625,55472,True,0.09855560003779829
number_002_4,number,2,4,1.0,90,sampled,380.45595932006836,378.33782958984375,382.57408905029297,44.68504589251325,44.80546482679012,22.40273241339506,22.342522946256626,-265.9461548612438,-74.02143923927585,0.4961328529161377,-263.794921875,-75.69140625,12.202271877809073,11841,6798,0.03515625,53680,True,0.08796740008983761
number_002_5,number,2,5,1.0,90,sampled,342.4149055480957,340.58228302001953,344.2475280761719,36.42202770539899,36.46965751401366,18.23482875700683,18.211013852699494,-266.4606262132941,-72.0804158953694,0.388296853284101,-266.712890625,-72.861328125,10.236684182122486,10282,5905,0.03515625,51884,True,0.08151049993466586
number_002_6,number,2,6,1.0,90,sampled,334.2048740386963,332.43883895874023,335.97090911865234,35.32314487129696,35.38926684066133,17.694633420330664,17.66157243564848,-266.5217909134945,-71.65607832297619,0.3720482041643748,-264.33984375,-71.9296875,9.810628538022122,9914,5691,0.03515625,51452,True,0.07733570004347712
number_003_2,number,3,2,1.0,90,sampled,1217.5607585906982,1214.3124961853027,1220.8090209960938,49.32536513613445,49.43846328124822,24.731349012630364,24.674646195855363,279.5359202724568,42.055691286679995,0.26308636141298414,279.3473069110049,42.12489348832542,3.8080248837987916,18217,10450,0.03515625,60976,True,0.13206659990828484
number_003_3,number,3,3,1.0,90,sampled,1007.55198097229,1004.5345344543457,1010.5694274902344,49.173886500727455,49.2867680123036,24.64353810923674,24.587046766572946,277.9305274927236,39.37819537176263,0.29432947895288064,279.2334598393405,42.070597192608545,1.8319418281332498,16920,9708,0.03515625,59484,True,0.12264189997222275
number_003_4,number,3,4,1.0,90,sampled,625.6942863464355,622.944580078125,628.4439926147461,49.173886500727455,49.2867680123036,24.64353810923674,24.587046766572946,276.67791792610814,34.56899366514716,0.4313005981148079,279.2334598393405,42.070597192608545,5.568057210735744,15395,8842,0.03515625,57756,True,0.11481239995919168
number_003_5,number,3,5,1.0,90,sampled,394.7232856750488,392.66139221191406,396.7851791381836,35.62163551906654,35.72169110061687,17.877185734307947,17.82699183647446,270.6396766787738,36.15082597403393,0.3712554059224604,265.86216938218456,35.68740849244536,6.877875439329816,11559,6639,0.03515625,53336,True,0.08652969996910542
number_003_6,number,3,6,1.0,90,sampled,316.7282180786133,314.91011810302734,318.5463180541992,29.256506562977258,29.37440912179993,15.180129747970907,15.128157411442938,269.82129593283133,38.741392864256575,0.33530830199775885,267.6914835428829,40.83658909292972,6.5809009120985404,10207,5863,0.03515625,51776,True,0.07836879999376833
number_004_2,number,4,2,1.0,90,sampled,1222.5594520568848,1219.6830596923828,1225.4358444213867,49.39747127593711,49.494856133657024,24.747428066828512,24.698735637968554,-275.5053535437513,116.85920572556454,0.2323526391252165,-275.2734375,116.68359375,14.999298075883171,16115,9239,0.03515625,58596,True,0.11333159997593611
number_004_3,number,4,3,1.0,90,sampled,143.3210620880127,141.9499168395996,144.69220733642578,25.64697231693985,25.823575874050665,12.911787937025332,12.823486158469924,-264.5700554471032,129.3416709249476,0.48942336299303324,-265.8515625,125.244140625,3.323982251961502,7566,4367,0.03515625,48828,True,0.0574591999175027
number_004_4,number,4,4,1.0,90,sampled,143.3210620880127,141.9499168395996,144.69220733642578,25.64697231693985,25.823575874050665,12.911787937025332,12.823486158469924,-264.5700554471032,129.3416709249476,0.48942336299303324,-265.8515625,125.244140625,3.323982251961502,7566,4367,0.03515625,48828,True,0.05664740002248436
