experiment_type,method,number_points,intersection_angle,n,area_mean,area_std,area_ci_low,area_ci_high,diameter_mean,diameter_std,diameter_ci_low,diameter_ci_high,cover_radius_mean,cover_radius_std,cover_radius_ci_low,cover_radius_ci_high,localization_error_mean,localization_error_std,localization_error_ci_low,localization_error_ci_high,min_intersection_angle_mean,min_intersection_angle_std,min_intersection_angle_ci_low,min_intersection_angle_ci_high,dop_mean,dop_std,dop_ci_low,dop_ci_high,runtime_mean,runtime_std,runtime_ci_low,runtime_ci_high
angle,controlled,2,120,30,1413.8024139404297,0.8291902416252784,1413.5122121429442,1414.080203075409,69.51639024174058,0.5622055750898137,69.32305543206992,69.70823440797884,34.881417401713,0.27730158332741844,34.78576908307161,34.97872369321517,15.79877496679474,6.429543402444022,13.707157404881443,18.23706964017422,60.000000000000014,5.277778944248776e-15,60.000000000000014,60.000000000000014,1.632993161855452,2.3324708006761793e-16,1.632993161855452,1.632993161855452,0.0851586433321548,0.008761603808634966,0.08211993283068296,0.08805194491287693
angle,controlled,2,30,30,2536.351947784424,196.977635952248,2469.450252742767,2604.325731124878,138.12645559184978,7.350630461085995,135.6241614413641,140.6595964116958,69.25482427177691,3.673313912031203,68.0009043457728,70.52378447027506,27.39364170454248,15.55066431106673,22.265077061915836,33.185139847439224,29.999999999999993,6.919226569267797e-15,29.999999999999993,30.0,2.82842712474619,1.0971294057523679e-15,2.8284271247461894,2.8284271247461903,0.1519931900082156,0.031134124991260746,0.1422773237580744,0.16409511000014992
angle,controlled,2,45,30,1766.75228805542,85.24754327010615,1737.5740524673463,1796.1647137069701,92.45314896351405,3.1684078003680747,91.37524470265181,93.54562566733952,46.36330608346223,1.5814558779580832,45.82615952649839,46.90863063199964,19.451646215965713,9.32670719113559,16.28455202564533,22.866800476219094,45.0,7.226896453227138e-15,45.0,45.0,2.0,1.4866642659416533e-16,2.0,2.0,0.10651181666568542,0.008787464182145212,0.10342185948810463,0.10950297899961395
angle,controlled,2,60,30,1432.3682922363282,46.680569520354354,1416.3778305244446,1448.4581458854675,70.41781365352593,1.7249208610363735,69.83017707785093,71.01153472312235,35.3216292899758,0.8567529728058925,35.031326886448234,35.616187473010385,16.056202560034855,6.565356859142072,13.746524278922333,18.467699602065085,60.0,8.239929735705705e-15,60.0,60.0,1.632993161855452,1.8439800764933338e-16,1.632993161855452,1.6329931618554523,0.08719357666559517,0.01062793478824952,0.08344164016171514,0.09063187739928254
angle,controlled,2,90,30,1230.9218467712403,17.484269580886984,1224.8748227691651,1237.0124204063416,49.74443080320793,0.49356405143861515,49.57989519089015,49.91980298955733,24.968988961409877,0.24750134076100483,24.885503266959194,25.057060139246673,14.018765322823329,4.818231536809337,12.304024126985924,15.738458307188685,90.0,0.0,90.0,90.0,1.4142135623730947,4.225089140260581e-16,1.4142135623730947,1.4142135623730947,0.0756113933127684,0.010024397531678712,0.07192560230430294,0.07902406755970635
layout,dop_baseline,4,,30,574.5349388122559,241.00597187428525,489.0470926094055,660.3536242103576,34.76150172714252,5.897654613182761,32.47852152137715,36.53410442990466,18.111071695369855,3.284397368812622,16.85377777731318,19.13393460052916,10.232222391333755,4.907794492085776,8.530574757315625,11.978431357505878,45.0,6.463932694307204e-15,45.0,45.0,1.0,4.6099501912333345e-17,1.0,1.0,0.05921194000402465,0.013341663525446383,0.0542768445831219,0.0637910743333244
layout,optimized,4,,30,462.8863586425781,270.651143298733,370.13981472015377,555.3776831245422,31.856414709630354,8.4805644708757,28.87157070844042,34.57350365708981,16.452623623253427,4.54166232575385,14.86819889917612,17.935697036752146,8.182044799057525,4.412794475835223,6.744806908718693,9.854071694973813,45.0,6.463932694307204e-15,45.0,45.0,1.0,2.0616324000971782e-17,1.0,1.0,0.05298537667064617,0.01590734010423187,0.04732564724292994,0.05811916150492228
layout,random,4,,30,638.5269287109375,342.8059632914288,517.8465583992005,757.4842398834224,47.469509239353165,17.067959452656424,41.829295135859596,53.55522269585835,23.941028624663474,8.478197737539483,21.126768268034166,26.914155508964914,11.389387883494015,6.306106239859754,9.330906170539079,13.736225485608538,13.000000028459112,10.954451115165364,9.500000028459112,17.000000000711474,1.231476336081704,0.23615617978703463,1.154195646859451,1.3215819158504156,0.0645023066472883,0.017293590294666043,0.058438043810019734,0.07048655205280131
layout,uniform,4,,30,520.1737701416016,357.41618999951123,396.3525389099121,647.2046497535705,32.457057834064145,10.790838088151325,28.74052931023601,36.29247010841812,16.318422833652715,5.3948510659353515,14.458350507291723,18.235362359705768,8.271499886219724,4.445611083948285,6.7933535575815345,9.839558281705127,5.691824374783513e-08,2.166093192157292e-07,0.0,1.4229560936958782e-07,1.0,5.454566625490348e-17,1.0,1.0,0.056787103336925306,0.03645729321254096,0.045780258247687014,0.07119081841005633
number,optimized,2,,30,1230.9218467712403,17.484269580886984,1224.8748227691651,1237.0124204063416,49.74443080320793,0.49356405143861515,49.57989519089015,49.91980298955733,24.968988961409877,0.24750134076100483,24.885503266959194,25.057060139246673,14.018765322823329,4.818231536809337,12.304024126985924,15.738458307188685,90.0,0.0,90.0,90.0,1.4142135623730947,4.225089140260581e-16,1.4142135623730947,1.4142135623730947,0.07669453001193081,0.009525861699231867,0.07320011434349,0.07989172975872255
number,optimized,3,,30,746.0041374206543,320.8911562652211,628.4289967918396,853.1369906616211,45.12972447770836,9.403061474666693,41.492816116022425,47.994468823223244,22.67135926868366,4.692667570403233,20.85575923494707,24.106172674123222,10.921071224828294,5.374936711011072,9.135394522693877,12.88984621820768,45.0,2.638889472124388e-15,45.0,45.0,1.2247448713915887,2.473958880116614e-16,1.2247448713915887,1.2247448713915887,0.0641868366743438,0.015208155364625945,0.058434599750811084,0.06912195849174167
number,optimized,4,,30,462.8863586425781,270.651143298733,370.13981472015377,555.3776831245422,31.856414709630354,8.4805644708757,28.87157070844042,34.57350365708981,16.452623623253427,4.54166232575385,14.86819889917612,17.935697036752146,8.182044799057525,4.412794475835223,6.744806908718693,9.854071694973813,45.0,6.463932694307204e-15,45.0,45.0,1.0,2.0616324000971782e-17,1.0,1.0,0.0513120400137268,0.01512313285356918,0.04581705268064979,0.056453172180626995
number,optimized,5,,30,336.0609489440918,203.68173863084138,264.60302501678467,405.91048009872435,29.684319318496442,8.248181951598834,26.72471943151669,32.28144407176333,15.146469348806049,4.245830750319928,13.611169203382874,16.500772218601508,7.57723261758529,4.383081780423737,6.2012769134476,9.178419373954046,15.000000000000004,2.0694682052026536e-14,14.999999999999998,15.000000000000012,0.9128709291752768,8.986447290752814e-17,0.9128709291752768,0.9128709291752769,0.046814753332485755,0.013291760096619884,0.04213478098545845,0.05137774184307394
number,optimized,6,,30,237.76835861206055,145.5727185581957,187.55017547607423,289.329144001007,25.468446172929987,8.307945255682009,22.440237829616883,28.257845612543584,12.962696360095896,4.091212013181456,11.505701743728302,14.324710518027949,5.90508772224487,3.682533722519387,4.707822128398454,7.296724194943736,14.99999999999998,1.1205574257084778e-14,14.999999999999973,14.999999999999984,0.828078671210825,0.0,0.828078671210825,0.828078671210825,0.04226578001398593,0.012348949405579332,0.03777378684346331,0.04655246809251063
