candidate_index,x,y,selected_order
0,1000.0,0.0,1
1,965.9258262890684,258.81904510252076,0
2,866.0254037844387,499.99999999999994,0
3,707.1067811865476,707.1067811865476,4
4,500.0000000000001,866.0254037844386,0
5,258.81904510252076,965.9258262890684,0
6,6.123233995736766e-14,1000.0,2
7,-258.8190451025209,965.9258262890684,0
8,-499.9999999999998,866.0254037844387,0
9,-707.1067811865474,707.1067811865476,3
10,-866.0254037844387,499.99999999999994,5
11,-965.9258262890683,258.81904510252105,0
12,-1000.0,1.2246467991473532e-13,0
13,-965.9258262890684,-258.8190451025208,0
14,-866.0254037844386,-500.0000000000001,6
15,-707.1067811865477,-707.1067811865474,0
16,-500.00000000000045,-866.0254037844385,0
17,-258.81904510252065,-965.9258262890684,0
18,-1.8369701987210297e-13,-1000.0,0
19,258.8190451025203,-965.9258262890684,0
20,500.0000000000001,-866.0254037844386,0
21,707.1067811865473,-707.1067811865477,0
22,866.0254037844384,-500.00000000000045,0
23,965.9258262890684,-258.8190451025207,0
