metric,method,mean,ci_low,ci_high
area,random,638.5269287109375,517.8465583992005,757.4842398834224
area,uniform,520.1737701416016,396.3525389099121,647.2046497535705
area,dop_baseline,574.5349388122559,489.0470926094055,660.3536242103576
area,optimized,462.8863586425781,370.13981472015377,555.3776831245422
diameter,random,47.469509239353165,41.8292951358596,53.55522269585835
diameter,uniform,32.457057834064145,28.74052931023601,36.29247010841812
diameter,dop_baseline,34.76150172714252,32.47852152137715,36.53410442990466
diameter,optimized,31.856414709630357,28.87157070844042,34.57350365708981
cover_radius,random,23.941028624663478,21.12676826803417,26.914155508964917
cover_radius,uniform,16.318422833652715,14.458350507291724,18.235362359705768
cover_radius,dop_baseline,18.11107169536985,16.85377777731318,19.13393460052916
cover_radius,optimized,16.452623623253427,14.86819889917612,17.935697036752146
localization_error,random,11.389387883494017,9.33090617053908,13.736225485608538
localization_error,uniform,8.271499886219724,6.793353557581535,9.839558281705129
localization_error,dop_baseline,10.232222391333757,8.530574757315625,11.978431357505878
localization_error,optimized,8.182044799057525,6.744806908718693,9.854071694973811
