experiment_type,method,number_points,intersection_angle,n,area_mean,area_std,area_ci_low,area_ci_high,diameter_mean,diameter_std,diameter_ci_low,diameter_ci_high,cover_radius_mean,cover_radius_std,cover_radius_ci_low,cover_radius_ci_high,localization_error_mean,localization_error_std,localization_error_ci_low,localization_error_ci_high,min_intersection_angle_mean,min_intersection_angle_std,min_intersection_angle_ci_low,min_intersection_angle_ci_high,dop_mean,dop_std,dop_ci_low,dop_ci_high,runtime_mean,runtime_std,runtime_ci_low,runtime_ci_high,series
number,optimized,2,,30,1230.9218467712403,17.484269580886984,1224.8748227691651,1237.0124204063416,49.74443080320793,0.4935640514386151,49.57989519089015,49.91980298955733,24.96898896140988,0.2475013407610048,24.885503266959194,25.057060139246676,14.018765322823327,4.818231536809337,12.304024126985924,15.738458307188685,90.0,0.0,90.0,90.0,1.4142135623730947,4.225089140260581e-16,1.4142135623730947,1.4142135623730947,0.0766945300119308,0.0095258616992318,0.07320011434349,0.0798917297587225,number
number,optimized,3,,30,746.0041374206543,320.8911562652211,628.4289967918396,853.1369906616211,45.12972447770836,9.403061474666693,41.492816116022425,47.99446882322325,22.67135926868366,4.692667570403233,20.85575923494707,24.106172674123226,10.921071224828294,5.374936711011072,9.135394522693876,12.88984621820768,45.0,2.638889472124388e-15,45.0,45.0,1.2247448713915887,2.4739588801166143e-16,1.2247448713915887,1.2247448713915887,0.0641868366743438,0.0152081553646259,0.058434599750811,0.0691219584917416,number
number,optimized,4,,30,462.8863586425781,270.651143298733,370.13981472015377,555.3776831245422,31.856414709630357,8.4805644708757,28.87157070844042,34.57350365708981,16.452623623253427,4.54166232575385,14.86819889917612,17.935697036752146,8.182044799057525,4.412794475835223,6.744806908718693,9.854071694973811,45.0,6.463932694307204e-15,45.0,45.0,1.0,2.0616324000971785e-17,1.0,1.0,0.0513120400137268,0.0151231328535691,0.0458170526806497,0.0564531721806269,number
number,optimized,5,,30,336.0609489440918,203.68173863084135,264.60302501678467,405.9104800987244,29.68431931849644,8.248181951598834,26.72471943151669,32.28144407176333,15.146469348806049,4.245830750319928,13.611169203382874,16.500772218601508,7.57723261758529,4.383081780423737,6.2012769134476,9.178419373954046,15.000000000000004,2.0694682052026536e-14,14.999999999999998,15.000000000000012,0.9128709291752768,8.986447290752814e-17,0.9128709291752768,0.9128709291752768,0.0468147533324857,0.0132917600966198,0.0421347809854584,0.0513777418430739,number
number,optimized,6,,30,237.76835861206052,145.5727185581957,187.55017547607423,289.329144001007,25.468446172929987,8.307945255682009,22.440237829616883,28.257845612543584,12.962696360095896,4.091212013181456,11.505701743728302,14.324710518027947,5.90508772224487,3.682533722519387,4.707822128398454,7.296724194943736,14.99999999999998,1.1205574257084778e-14,14.999999999999972,14.999999999999984,0.828078671210825,0.0,0.828078671210825,0.828078671210825,0.0422657800139859,0.0123489494055793,0.0377737868434633,0.0465524680925106,number
angle,controlled,2,30.0,30,2536.351947784424,196.977635952248,2469.450252742767,2604.325731124878,138.12645559184978,7.350630461085995,135.6241614413641,140.6595964116958,69.25482427177691,3.673313912031203,68.0009043457728,70.52378447027506,27.39364170454248,15.55066431106673,22.26507706191584,33.185139847439224,29.999999999999996,6.919226569267797e-15,29.999999999999996,30.0,2.82842712474619,1.097129405752368e-15,2.8284271247461894,2.8284271247461903,0.1519931900082156,0.0311341249912607,0.1422773237580744,0.1640951100001499,angle
angle,controlled,2,45.0,30,1766.75228805542,85.24754327010615,1737.5740524673463,1796.16471370697,92.45314896351404,3.1684078003680747,91.3752447026518,93.54562566733952,46.36330608346223,1.5814558779580832,45.82615952649839,46.90863063199964,19.451646215965717,9.32670719113559,16.28455202564533,22.86680047621909,45.0,7.226896453227138e-15,45.0,45.0,2.0,1.486664265941653e-16,2.0,2.0,0.1065118166656854,0.0087874641821452,0.1034218594881046,0.1095029789996139,angle
angle,controlled,2,60.0,30,1432.3682922363282,46.680569520354354,1416.3778305244446,1448.4581458854675,70.41781365352593,1.7249208610363735,69.83017707785093,71.01153472312235,35.3216292899758,0.8567529728058925,35.031326886448234,35.616187473010385,16.056202560034855,6.565356859142072,13.746524278922331,18.467699602065085,60.0,8.239929735705705e-15,60.0,60.0,1.632993161855452,1.8439800764933335e-16,1.632993161855452,1.6329931618554523,0.0871935766655951,0.0106279347882495,0.0834416401617151,0.0906318773992825,angle
angle,controlled,2,90.0,30,1230.9218467712403,17.484269580886984,1224.8748227691651,1237.0124204063416,49.74443080320793,0.4935640514386151,49.57989519089015,49.91980298955733,24.96898896140988,0.2475013407610048,24.885503266959194,25.057060139246676,14.018765322823327,4.818231536809337,12.304024126985924,15.738458307188685,90.0,0.0,90.0,90.0,1.4142135623730947,4.225089140260581e-16,1.4142135623730947,1.4142135623730947,0.0756113933127684,0.0100243975316787,0.0719256023043029,0.0790240675597063,angle
angle,controlled,2,120.0,30,1413.8024139404297,0.8291902416252784,1413.5122121429442,1414.080203075409,69.51639024174058,0.5622055750898137,69.32305543206992,69.70823440797884,34.881417401713,0.2773015833274184,34.78576908307161,34.97872369321517,15.79877496679474,6.429543402444022,13.707157404881444,18.23706964017422,60.000000000000014,5.277778944248776e-15,60.000000000000014,60.000000000000014,1.632993161855452,2.3324708006761793e-16,1.632993161855452,1.632993161855452,0.0851586433321548,0.0087616038086349,0.0821199328306829,0.0880519449128769,angle
