# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
0,11,4,5378.6,6395.1,4374.1,-1004.5,1016.5,1888.4,2495.2,1023.4,0.0,True,1
1,10,3,4330.4,5484.0,4203.9,-126.4,1153.7,2273.0,2678.6,621.2,0.0,True,2
2,16,2,4562.0,6061.4,4303.8,-258.2,1499.3,1688.9,2132.9,463.2,0.0,True,0
3,16,1,4796.2,5789.3,4959.6,163.3,993.1,1673.9,2125.2,229.1,0.0,True,1
4,14,1,3847.1,5297.6,4011.4,164.3,1450.5,1721.2,2066.6,66.0,0.0,True,0
5,12,3,4810.5,6013.5,4198.1,-612.4,1203.0,2094.3,2564.0,756.4,0.0,True,1
6,16,3,4438.8,5338.5,4562.7,123.9,899.7,1569.9,2086.4,549.1,72.7,True,2
7,16,4,5179.6,5882.6,4626.5,-553.1,703.0,1556.5,1944.5,918.8,0.0,True,3
8,11,3,4789.1,5198.6,4937.9,148.8,409.5,1910.4,2161.7,823.7,461.9,True,3
9,13,4,4388.6,5729.0,4202.6,-186.0,1340.4,2076.4,2361.1,566.4,0.0,True,2
10,13,1,3475.8,4652.8,3916.6,440.8,1177.0,1514.7,2082.7,237.2,0.0,True,0
11,16,2,4389.0,5570.1,4181.7,-207.3,1181.1,1839.6,2291.2,168.5,0.0,True,1
12,13,0,4015.1,4015.1,4413.6,398.6,0.0,1691.8,2321.8,0.0,0.0,False,0
13,12,3,4739.5,5953.5,4320.0,-419.5,1213.9,1784.5,2061.0,839.1,66.0,True,1
14,13,3,4546.0,5954.8,4534.7,-11.3,1408.8,1912.3,2405.8,454.1,0.0,True,1
15,16,2,4079.2,5173.8,3985.7,-93.5,1094.5,1904.3,2096.9,377.6,0.0,True,1
16,12,4,4727.1,6062.8,4363.3,-363.8,1335.7,1706.6,2388.7,440.2,0.0,True,1
17,14,1,3945.9,5306.9,4153.1,207.3,1361.1,1988.4,2205.1,182.9,0.0,True,1
18,15,4,5381.6,6197.8,4437.0,-944.6,816.2,1707.1,2017.0,669.5,0.0,True,2
19,14,1,4718.5,5215.8,4027.4,-691.1,497.3,1806.7,2136.0,482.4,0.0,True,1
20,13,5,4879.3,5599.6,4365.2,-514.1,720.3,1963.3,2256.9,617.5,0.0,True,2
21,14,3,4210.2,5363.8,4069.4,-140.8,1153.6,1675.2,2211.9,660.8,0.0,True,1
22,14,2,5175.8,6007.0,4740.1,-435.7,831.2,1927.9,2159.5,812.9,0.0,True,1
23,16,5,5766.3,5474.5,5109.2,-657.1,-291.8,1797.9,2130.8,1360.5,452.6,True,4
24,14,0,3888.8,3888.8,4350.1,461.2,0.0,1772.1,2374.2,0.0,0.0,False,0
25,11,4,5498.7,6028.7,4465.8,-1032.9,530.0,1805.2,2382.1,1051.3,0.0,True,2
26,11,4,4838.2,5645.2,4524.7,-313.5,807.0,2273.0,2678.6,746.5,0.0,True,3
27,14,1,4079.3,5178.3,4351.8,272.5,1099.0,1392.6,1964.9,322.4,232.3,True,1
28,11,1,3704.6,4624.0,3827.4,122.8,919.4,1898.8,2464.6,321.8,0.0,True,1
29,10,3,4448.7,5135.0,3960.8,-487.9,686.3,1894.8,2385.5,511.4,0.0,True,2
30,10,3,4603.1,5018.7,4246.5,-356.7,415.6,2135.2,2644.4,949.6,0.0,True,3
