# δ 2x2 交叉验证逐案
config,delta,k,n_src,T,dist,meas,fail,full
旧配置 1200x6 无透镜/无贝叶斯,300,0,15,4324.6,17363,130,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,1,10,3893.6,15323,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,2,10,4569.6,18748,129,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,3,16,4254.8,16889,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,4,10,4638.7,18799,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,5,14,4358.0,17615,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,6,15,5697.9,23659,152,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,7,11,4165.5,16628,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,8,15,4045.1,15965,129,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,9,11,3724.6,14683,123,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,10,14,4126.2,16726,119,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,11,10,3927.0,15470,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,12,12,4878.1,20046,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,13,12,4397.4,17527,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,14,12,3985.5,15882,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,15,10,3914.2,15386,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,16,11,3952.0,15385,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,17,14,4857.5,19952,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,18,14,5102.6,21043,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,19,13,3885.3,15151,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,20,16,4621.2,18721,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,21,14,4858.1,19705,143,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,22,11,5855.2,24501,153,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,23,16,5578.4,23202,147,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,24,16,4417.2,17801,130,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,25,10,4680.7,18914,143,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,26,13,4440.1,17826,135,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,27,11,4035.0,15995,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,28,11,4470.7,17928,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,29,13,3953.9,15595,129,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,30,13,5112.8,20789,151,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,31,12,3768.9,14449,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,32,12,4588.1,18490,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,33,12,4361.0,17490,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,34,16,5005.1,20625,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,35,15,4415.2,17986,125,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,36,13,4905.9,20250,133,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,37,12,5470.5,22717,147,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,38,16,4733.0,19235,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,39,16,5171.9,21605,129,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,40,11,5026.2,20326,153,4,1
旧配置 1200x6 无透镜/无贝叶斯,300,41,16,5574.7,23459,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,42,11,3496.3,13561,122,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,43,11,4343.6,17563,130,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,44,12,3915.9,15320,132,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,45,14,5587.3,23396,142,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,46,10,4031.1,15786,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,47,10,4711.8,19004,146,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,48,14,4657.8,18784,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,49,10,4639.6,18923,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,50,10,4194.1,16556,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,51,13,5188.6,21288,147,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,52,10,5008.8,20614,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,53,15,4760.2,19286,138,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,54,15,4317.2,17491,125,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,55,13,4267.2,17026,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,56,15,3970.5,15907,120,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,57,14,4808.6,19558,139,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,58,15,5027.7,20764,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,59,12,3864.0,15125,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,60,16,4630.5,18828,130,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,61,13,4043.0,15815,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,62,16,4565.3,18541,128,5,1
旧配置 1200x6 无透镜/无贝叶斯,300,63,16,5131.1,21441,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,64,14,5320.8,22054,144,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,65,16,4559.1,18431,132,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,66,14,5002.8,20334,145,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,67,10,3687.3,14191,133,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,68,13,4435.1,17836,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,69,13,4309.5,17442,127,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,70,13,3559.2,13891,120,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,71,11,4001.8,15564,139,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,72,13,5218.4,21652,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,73,15,4803.9,19569,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,74,13,4146.9,16269,139,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,75,13,5161.6,21243,142,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,76,10,4154.2,16376,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,77,12,4230.4,16622,143,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,78,14,4573.6,18503,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,79,16,5936.3,24987,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,80,14,5088.7,20734,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,81,12,5456.8,22784,142,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,82,12,4885.2,19921,141,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,83,16,4599.4,18322,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,84,10,4853.5,20018,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,85,12,3574.1,13856,125,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,86,13,4428.4,17772,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,87,15,5484.1,22705,146,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,88,12,4499.4,18092,137,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,89,12,4273.3,16757,142,6,1
旧配置 1200x6 无透镜/无贝叶斯,300,90,11,4778.6,19363,142,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,91,10,3577.2,13616,133,4,1
旧配置 1200x6 无透镜/无贝叶斯,300,92,13,4344.1,17706,124,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,93,15,4074.3,16107,130,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,94,11,3913.6,15313,133,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,95,15,4920.8,20244,133,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,96,11,4171.1,16610,133,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,97,13,5884.7,24739,149,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,98,10,4114.8,16379,133,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,99,14,5049.2,20721,139,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,100,16,4221.7,16769,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,101,13,5543.2,23056,147,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,102,13,4095.8,16054,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,103,15,5782.7,24248,145,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,104,12,4865.7,19779,142,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,105,15,4393.4,17567,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,106,13,5031.1,20485,147,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,107,16,5270.0,21830,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,108,12,5017.6,20698,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,109,13,4381.0,17455,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,110,15,4671.7,18849,139,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,111,12,4613.5,18713,135,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,112,12,5361.3,22116,148,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,113,12,4779.4,19492,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,114,15,5070.8,21184,127,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,115,15,4901.2,20296,129,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,116,15,4607.8,18604,136,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,117,11,4774.6,19238,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,118,16,5986.5,25082,151,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,119,14,4923.8,20164,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,120,12,3846.7,14783,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,121,16,4599.3,18581,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,122,15,4716.2,19206,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,123,14,4794.8,19514,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,124,11,4145.4,16417,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,125,15,4984.1,20501,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,126,13,5133.9,21044,145,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,127,12,4360.3,17642,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,128,12,4622.9,18690,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,129,10,3857.3,15111,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,130,12,4748.0,19515,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,131,11,3811.4,14917,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,132,16,4593.5,18672,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,133,13,3873.4,15117,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,134,10,4126.5,16087,144,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,135,16,5835.1,24141,160,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,136,15,5400.4,22342,145,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,137,13,3862.6,15088,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,138,15,5370.5,22253,143,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,139,11,4400.3,17651,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,140,16,5296.1,22045,134,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,141,10,3266.2,12051,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,142,15,4192.6,16883,124,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,143,16,5246.3,21971,128,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,144,14,5012.5,20532,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,145,10,4387.9,17525,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,146,13,4409.8,17709,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,147,16,5541.2,22751,153,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,148,10,4296.5,17123,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,149,15,4479.2,18156,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,150,14,5142.4,21267,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,151,14,4722.2,19076,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,152,12,4387.6,17653,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,153,10,4526.2,18276,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,154,13,4137.1,16616,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,155,16,5247.6,22093,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,156,14,4251.2,16991,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,157,15,5319.8,21879,145,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,158,11,3965.7,15748,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,159,13,5346.1,22081,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,160,10,3999.5,15823,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,161,16,4370.0,17625,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,162,11,3760.8,14514,135,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,163,13,4797.1,19391,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,164,13,5559.4,23202,144,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,165,12,4081.1,16015,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,166,11,4169.8,16409,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,167,13,4354.0,17335,137,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,168,16,4945.0,20180,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,169,14,3859.3,15142,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,170,15,4635.1,18815,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,171,10,4197.6,16648,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,172,13,5835.1,24490,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,173,13,4343.0,17280,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,174,16,4298.2,17171,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,175,15,4259.0,17015,130,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,176,16,5823.6,24323,149,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,177,15,5327.2,22151,139,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,178,14,3851.8,15349,119,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,179,16,4148.7,16328,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,180,11,4331.9,17349,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,181,12,4901.9,20130,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,182,14,5576.4,23257,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,183,16,4436.5,17917,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,184,13,6026.6,25518,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,185,13,4763.8,19204,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,186,15,5273.0,21930,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,187,12,4869.5,19957,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,188,14,5448.9,22460,150,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,189,15,5186.2,21236,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,190,11,4369.1,17571,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,191,13,4786.1,19291,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,192,14,3950.5,15567,128,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,193,12,5252.5,21752,141,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,194,11,4429.4,17527,147,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,195,11,4530.6,18388,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,196,16,4664.9,18985,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,197,14,4415.7,18014,125,0,1
