# 同心双环 vs 现行 配对实验逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,status,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(现行),0,10,3138.9,10955,151,143,10,0,1,completed,1824.2,0.0,564.0,750.7,0.0,0.0,0.0,0.0
base(现行),1,13,4289.6,16413,158,149,14,1,1,completed,2132.2,118.4,110.8,1914.2,0.0,14.0,0.0,0.0
base(现行),2,11,4276.9,16750,145,138,14,3,1,completed,2040.0,463.6,220.0,1511.3,0.0,42.0,0.0,0.0
base(现行),3,11,3822.7,14264,154,145,11,0,1,completed,2144.2,0.0,136.4,1542.0,0.0,0.0,0.0,0.0
base(现行),4,13,4088.7,15839,143,135,15,2,1,completed,2051.8,0.0,127.2,1881.7,0.0,28.0,0.0,0.0
base(现行),5,12,3450.0,12850,138,130,12,0,1,completed,1658.0,0.0,752.5,1039.6,0.0,0.0,0.0,0.0
base(现行),6,10,4043.0,15385,154,146,10,0,1,completed,1970.3,0.0,364.0,1708.6,0.0,0.0,0.0,0.0
base(现行),7,10,4331.5,16768,156,148,10,0,1,completed,2155.7,325.8,140.2,1709.8,0.0,0.0,0.0,0.0
base(现行),8,11,3925.1,14846,151,143,12,1,1,completed,1890.3,299.7,394.5,1326.7,0.0,14.0,0.0,0.0
base(现行),9,10,4194.0,16060,155,148,13,3,1,completed,2051.1,0.0,244.6,1856.3,0.0,14.0,28.0,0.0
base(现行),10,13,3508.0,13055,140,132,13,0,1,completed,1808.4,146.0,456.4,1097.2,0.0,0.0,0.0,0.0
base(现行),11,16,3876.8,15029,133,126,16,0,1,completed,1466.3,0.0,728.4,1682.1,0.0,0.0,0.0,0.0
base(现行),12,12,4035.8,15699,140,133,13,1,1,completed,1954.8,0.0,401.5,1665.5,0.0,0.0,14.0,0.0
base(现行),13,10,3870.4,14357,159,151,11,1,1,completed,2143.5,0.0,128.7,1584.2,0.0,14.0,0.0,0.0
base(现行),14,14,3643.4,13772,137,131,15,1,1,completed,1564.4,0.0,661.3,1403.7,0.0,0.0,14.0,0.0
base(现行),15,16,4116.9,16360,128,119,18,2,1,completed,1834.6,0.0,328.6,1925.8,0.0,28.0,0.0,0.0
base(现行),16,11,3668.2,13426,155,147,13,2,1,completed,2040.3,0.0,330.4,1269.5,0.0,14.0,14.0,0.0
base(现行),17,15,3898.9,14885,142,134,16,1,1,completed,1763.4,0.0,485.4,1636.1,0.0,14.0,0.0,0.0
base(现行),18,10,3763.5,13812,160,151,10,0,1,completed,2108.0,0.0,199.9,1455.6,0.0,0.0,0.0,0.0
base(现行),19,14,4020.3,15486,143,135,15,1,1,completed,1832.2,0.0,391.5,1782.5,0.0,0.0,14.0,0.0
base(现行),20,12,4156.6,15828,155,150,14,2,1,completed,2195.0,0.0,44.8,1888.9,0.0,14.0,14.0,0.0
base(现行),21,16,4059.8,16149,125,119,18,2,1,completed,1500.1,0.0,644.3,1888.4,0.0,0.0,27.0,0.0
base(现行),22,14,3969.6,15563,132,124,15,1,1,completed,1838.8,0.0,384.7,1732.1,0.0,14.0,0.0,0.0
base(现行),23,13,4121.7,15829,150,141,13,0,1,completed,2051.8,0.0,221.4,1848.5,0.0,0.0,0.0,0.0
base(现行),24,10,4330.9,16870,152,144,11,1,1,completed,2012.0,0.0,227.0,2077.9,0.0,14.0,0.0,0.0
base(现行),25,14,4061.5,15782,140,132,15,1,1,completed,1736.7,136.5,512.7,1661.5,0.0,0.0,14.0,0.0
base(现行),26,15,4647.1,18580,142,137,18,3,1,completed,1762.5,433.4,511.9,1897.3,0.0,28.0,14.0,0.0
base(现行),27,16,4100.2,15881,142,134,16,0,1,completed,1842.2,0.0,450.1,1807.9,0.0,0.0,0.0,0.0
base(现行),28,12,3809.3,14497,143,135,12,0,1,completed,2028.2,0.0,150.4,1630.7,0.0,0.0,0.0,0.0
base(现行),29,12,4306.6,16733,150,141,15,3,1,completed,2131.3,0.0,107.1,2026.3,0.0,42.0,0.0,0.0
base(现行),30,12,3929.9,14934,148,140,13,1,1,completed,2042.2,0.0,203.2,1670.5,0.0,14.0,0.0,0.0
base(现行),31,16,4536.5,18168,137,129,19,3,1,completed,2001.3,0.0,150.2,2344.0,0.0,41.0,0.0,0.0
base(现行),32,13,3989.6,15438,140,131,15,2,1,completed,1864.4,0.0,410.6,1686.6,0.0,28.0,0.0,0.0
base(现行),33,15,3871.4,15187,128,119,15,0,1,completed,1910.2,0.0,239.6,1721.7,0.0,0.0,0.0,0.0
base(现行),34,10,3615.3,13371,148,139,14,4,1,completed,1884.1,0.0,359.4,1319.6,0.0,38.1,14.0,0.0
base(现行),35,11,3072.1,11020,137,128,11,0,1,completed,1758.5,0.0,484.2,829.4,0.0,0.0,0.0,0.0
base(现行),36,14,4838.5,19238,155,146,14,0,1,completed,2151.8,384.9,83.0,2218.9,0.0,0.0,0.0,0.0
base(现行),37,11,3640.7,13753,140,132,12,1,1,completed,1810.1,0.0,478.8,1337.8,0.0,0.0,14.0,0.0
base(现行),38,16,4159.7,16133,142,137,18,2,1,completed,1723.5,0.0,536.2,1872.0,0.0,0.0,28.0,0.0
base(现行),39,14,3969.9,15129,147,139,14,0,1,completed,1909.8,0.0,322.9,1737.2,0.0,0.0,0.0,0.0
base(现行),40,14,4041.6,15813,135,128,16,2,1,completed,1752.1,0.0,509.1,1752.5,0.0,14.0,14.0,0.0
base(现行),41,13,4094.3,15931,142,133,13,0,1,completed,1841.3,186.6,431.0,1635.4,0.0,0.0,0.0,0.0
base(现行),42,11,3872.4,14472,154,147,13,2,1,completed,1994.5,189.0,253.2,1407.7,0.0,14.0,14.0,0.0
base(现行),43,15,4005.6,15483,140,131,16,1,1,completed,1946.2,0.0,377.7,1667.7,0.0,14.0,0.0,0.0
base(现行),44,14,3878.2,14651,147,140,15,1,1,completed,1816.4,0.0,480.3,1567.4,0.0,0.0,14.0,0.0
base(现行),45,12,3831.0,14510,146,139,12,0,1,completed,2014.7,0.0,214.1,1602.2,0.0,0.0,0.0,0.0
base(现行),46,16,4446.0,18165,122,114,19,3,1,completed,1711.3,387.5,573.3,1735.7,0.0,14.0,24.1,0.0
base(现行),47,15,3795.6,14123,150,143,16,1,1,completed,1987.2,0.0,351.0,1443.4,0.0,0.0,14.0,0.0
base(现行),48,15,4224.5,16553,141,134,15,0,1,completed,1828.4,0.0,510.3,1885.7,0.0,0.0,0.0,0.0
base(现行),49,12,3526.2,12996,146,137,12,0,1,completed,1777.4,0.0,581.4,1167.4,0.0,0.0,0.0,0.0
base(现行),50,15,4799.4,19402,141,133,17,2,1,completed,1879.8,321.6,320.9,2249.0,0.0,28.0,0.0,0.0
base(现行),51,12,4597.4,18347,146,138,12,0,1,completed,1925.5,543.3,304.0,1824.6,0.0,0.0,0.0,0.0
base(现行),52,10,2966.0,9990,154,145,11,1,1,completed,1847.5,0.0,503.9,600.6,0.0,14.0,0.0,0.0
base(现行),53,13,3955.3,15022,148,140,15,2,1,completed,1724.6,0.0,511.0,1691.7,0.0,14.0,14.0,0.0
base(现行),54,10,3777.5,14002,156,147,10,0,1,completed,2005.0,178.2,319.0,1275.3,0.0,0.0,0.0,0.0
base(现行),55,12,3952.5,15398,137,128,12,0,1,completed,1847.3,0.0,457.6,1647.6,0.0,0.0,0.0,0.0
base(现行),56,15,4564.8,18624,129,120,15,0,1,completed,2068.3,823.9,75.2,1597.3,0.0,0.0,0.0,0.0
base(现行),57,12,3948.6,15003,149,140,13,1,1,completed,2044.2,0.0,181.4,1708.9,0.0,14.0,0.0,0.0
base(现行),58,16,4014.4,16212,115,108,19,3,1,completed,1583.2,147.6,535.1,1710.3,0.0,14.0,24.1,0.0
base(现行),59,10,3814.0,14225,154,146,11,1,1,completed,1987.6,0.0,359.1,1453.3,0.0,0.0,14.0,0.0
base(现行),60,12,4113.1,16036,141,135,14,2,1,completed,1868.5,0.0,336.5,1880.2,0.0,28.0,0.0,0.0
base(现行),61,14,4475.6,17723,144,138,15,1,1,completed,1866.0,0.0,442.8,2152.8,0.0,14.0,0.0,0.0
base(现行),62,12,4387.5,17183,150,141,12,0,1,completed,2010.6,149.5,292.0,1935.4,0.0,0.0,0.0,0.0
base(现行),63,10,4118.6,15453,164,155,11,1,1,completed,2139.3,388.2,139.5,1437.6,0.0,14.0,0.0,0.0
base(现行),64,13,3581.3,13542,136,128,13,0,1,completed,1436.7,0.0,902.6,1242.1,0.0,0.0,0.0,0.0
base(现行),65,12,3809.3,14277,149,143,14,2,1,completed,2029.4,0.0,261.4,1490.5,0.0,14.0,14.0,0.0
base(现行),66,16,4267.8,17474,117,108,16,0,1,completed,1775.5,0.0,375.3,2117.0,0.0,0.0,0.0,0.0
base(现行),67,12,3824.8,14519,145,136,12,0,1,completed,1834.0,79.5,508.5,1402.7,0.0,0.0,0.0,0.0
base(现行),68,11,4177.5,16067,153,144,11,0,1,completed,2033.2,146.0,236.9,1761.3,0.0,0.0,0.0,0.0
base(现行),69,15,4447.2,17751,138,132,15,0,1,completed,2004.6,0.0,132.1,2310.5,0.0,0.0,0.0,0.0
