# 在环逐局明细(由 loop_compare.py 从 problem3_robot/logs/*.jsonl 导出)
# A: problem3_robot/logs/p3_log_*lens_on_a*.jsonl
# B: problem3_robot/logs/p3_log_*lens_off_b*.jsonl
arm,file,ring_r,ring_n,n_src,T_s,movement_m,measure,clear_ok,clear_fail,actions
A,p3_log_20260912_155918_lens_on_a_01.jsonl,1150.0,9,12,4101.6,14988.0,175,12,1,190
A,p3_log_20260912_155920_lens_on_a_02.jsonl,1150.0,9,14,4392.6,16052.9,187,14,0,203
A,p3_log_20260912_155959_lens_on_a_03.jsonl,1150.0,9,10,4266.9,15479.7,188,10,1,201
A,p3_log_20260912_160016_lens_on_a_04.jsonl,1150.0,9,11,3892.7,13838.4,180,11,0,193
A,p3_log_20260912_160049_lens_on_a_05.jsonl,1150.0,9,13,3986.7,14408.4,175,13,0,190
A,p3_log_20260912_160125_lens_on_a_06.jsonl,1150.0,9,15,4495.4,16382.2,192,15,1,210
A,p3_log_20260912_160144_lens_on_a_07.jsonl,1150.0,9,10,4066.9,14164.7,199,10,0,211
A,p3_log_20260912_160226_lens_on_a_08.jsonl,1150.0,9,14,3902.0,14225.1,166,14,0,182
A,p3_log_20260912_160243_lens_on_a_09.jsonl,1150.0,9,13,3719.1,12700.3,187,13,0,202
A,p3_log_20260912_160300_lens_on_a_10.jsonl,1150.0,9,16,4791.2,18146.2,182,16,0,200
A,p3_log_20260912_160312_lens_on_a_11.jsonl,1150.0,9,11,3968.4,14247.1,179,11,0,192
A,p3_log_20260912_160329_lens_on_a_12.jsonl,1150.0,9,10,3801.8,13618.8,173,10,0,185
A,p3_log_20260912_160347_lens_on_a_13.jsonl,1150.0,9,13,4359.2,15685.8,194,13,1,210
A,p3_log_20260912_160404_lens_on_a_14.jsonl,1150.0,9,11,3597.3,12551.4,173,11,1,187
A,p3_log_20260912_160421_lens_on_a_15.jsonl,1150.0,9,15,4824.4,18487.0,177,15,0,194
B,p3_log_20260912_160438_lens_off_b_01.jsonl,1150.0,9,11,3881.8,13723.8,182,11,0,195
B,p3_log_20260912_160456_lens_off_b_02.jsonl,1150.0,9,11,4552.6,16983.1,185,11,0,198
B,p3_log_20260912_160513_lens_off_b_03.jsonl,1150.0,9,15,4465.4,16777.0,174,15,0,191
B,p3_log_20260912_160530_lens_off_b_04.jsonl,1150.0,9,16,4397.7,16508.4,171,16,0,189
B,p3_log_20260912_160547_lens_off_b_05.jsonl,1150.0,9,16,4689.3,17586.7,183,16,1,202
B,p3_log_20260912_160605_lens_off_b_06.jsonl,1150.0,9,16,4335.4,15806.8,184,16,0,202
B,p3_log_20260912_160622_lens_off_b_07.jsonl,1150.0,9,15,4623.3,17096.4,190,15,0,207
B,p3_log_20260912_160640_lens_off_b_08.jsonl,1150.0,9,13,4181.8,15344.1,176,13,1,192
B,p3_log_20260912_160700_lens_off_b_09.jsonl,1150.0,9,11,4158.9,15109.6,182,11,0,195
B,p3_log_20260912_160718_lens_off_b_10.jsonl,1150.0,9,14,4333.1,16115.5,175,14,0,191
B,p3_log_20260912_160735_lens_off_b_11.jsonl,1150.0,9,11,4848.8,18089.1,197,11,1,211
B,p3_log_20260912_160752_lens_off_b_12.jsonl,1150.0,9,16,5103.0,19504.8,190,16,0,208
B,p3_log_20260912_160825_lens_off_b_13.jsonl,1150.0,9,14,4391.6,16168.0,183,14,0,199
B,p3_log_20260912_160858_lens_off_b_14.jsonl,1150.0,9,16,4262.8,15503.8,182,16,0,200
B,p3_log_20260912_160915_lens_off_b_15.jsonl,1150.0,9,12,3958.4,14172.0,179,12,0,193
