# 在环逐局明细(由 loop_compare.py 从 problem3_robot/logs/*.jsonl 导出)
# A: problem3_robot/logs/p3_log_*ring1150n9_a*.jsonl
# B: problem3_robot/logs/p3_log_*ring6pt_c*.jsonl
arm,file,ring_r,ring_n,n_src,T_s,movement_m,measure,clear_ok,clear_fail,actions
A,p3_log_20260912_150005_ring1150n9_a01.jsonl,,,,0,0,0,0,0,0  # 空局(未产生有效数据)
A,p3_log_20260912_150448_ring1150n9_a_01.jsonl,1150.0,9,16,4561.4,16887.0,185,16,1,204
A,p3_log_20260912_150450_ring1150n9_a_02.jsonl,1150.0,9,11,3864.6,13698.0,180,11,0,193
A,p3_log_20260912_150507_ring1150n9_a_03.jsonl,1150.0,9,10,3956.3,13941.5,188,10,0,200
A,p3_log_20260912_150524_ring1150n9_a_04.jsonl,1150.0,9,11,4014.0,14264.8,186,11,0,199
A,p3_log_20260912_150541_ring1150n9_a_05.jsonl,1150.0,9,10,3644.3,12771.6,175,10,0,187
A,p3_log_20260912_150558_ring1150n9_a_06.jsonl,1150.0,9,14,4429.9,16234.5,186,14,2,204
A,p3_log_20260912_150616_ring1150n9_a_07.jsonl,1150.0,9,13,4588.0,16904.9,192,13,0,207
A,p3_log_20260912_150633_ring1150n9_a_08.jsonl,1150.0,9,16,4896.9,18834.5,176,16,1,195
A,p3_log_20260912_150650_ring1150n9_a_09.jsonl,1150.0,9,16,4353.0,16130.1,176,16,0,194
A,p3_log_20260912_150708_ring1150n9_a_10.jsonl,1150.0,9,15,4474.3,16416.7,187,15,1,205
A,p3_log_20260912_150725_ring1150n9_a_11.jsonl,1150.0,9,13,3935.1,13880.4,184,13,0,199
A,p3_log_20260912_150742_ring1150n9_a_12.jsonl,1150.0,9,13,3987.9,14384.4,176,13,0,191
A,p3_log_20260912_150800_ring1150n9_a_13.jsonl,1150.0,9,11,4295.5,15867.5,179,11,1,193
A,p3_log_20260912_150811_ring1150n9_a_14.jsonl,1150.0,9,12,4285.8,15624.2,185,12,0,199
A,p3_log_20260912_150828_ring1150n9_a_15.jsonl,1150.0,9,16,4139.0,15359.9,166,16,0,184
A,p3_log_20260912_150845_ring1150n9_a_16.jsonl,1150.0,9,11,4518.5,16517.4,195,11,0,208
A,p3_log_20260912_150902_ring1150n9_a_17.jsonl,1150.0,9,14,3929.0,13970.2,179,14,0,195
A,p3_log_20260912_150920_ring1150n9_a_18.jsonl,1150.0,9,10,4041.1,14315.5,189,10,1,202
A,p3_log_20260912_150937_ring1150n9_a_19.jsonl,1150.0,9,11,4052.3,14306.7,191,11,0,204
A,p3_log_20260912_150948_ring1150n9_a_20.jsonl,1150.0,9,10,4720.9,17359.7,203,10,0,215
B,p3_log_20260912_151006_ring6pt_c_01.jsonl,1200.0,6,15,4617.0,18865.0,128,15,2,147
B,p3_log_20260912_151024_ring6pt_c_02.jsonl,1200.0,6,14,4955.5,20272.4,141,14,0,157
B,p3_log_20260912_151041_ring6pt_c_03.jsonl,1200.0,6,15,3772.0,14650.2,129,15,0,146
B,p3_log_20260912_151058_ring6pt_c_04.jsonl,1200.0,6,13,5237.7,21878.3,134,13,0,149
B,p3_log_20260912_151115_ring6pt_c_05.jsonl,1200.0,6,16,5365.8,22444.2,134,16,0,152
B,p3_log_20260912_151132_ring6pt_c_06.jsonl,1200.0,6,15,4409.2,17570.9,138,15,0,155
B,p3_log_20260912_151149_ring6pt_c_07.jsonl,1200.0,6,16,4896.8,20109.2,133,16,1,152
B,p3_log_20260912_151206_ring6pt_c_08.jsonl,1200.0,6,16,4276.9,17414.4,120,16,0,138
B,p3_log_20260912_151222_ring6pt_c_09.jsonl,1200.0,6,15,4900.4,20286.9,129,15,0,146
B,p3_log_20260912_151239_ring6pt_c_10.jsonl,1200.0,6,13,4711.7,19128.7,138,13,0,153
B,p3_log_20260912_151256_ring6pt_c_11.jsonl,1200.0,6,15,4376.1,17470.5,134,15,3,154
B,p3_log_20260912_151313_ring6pt_c_12.jsonl,1200.0,6,11,3903.3,15061.3,142,11,0,155
B,p3_log_20260912_151330_ring6pt_c_13.jsonl,1200.0,6,10,3125.2,11696.2,123,10,1,136
B,p3_log_20260912_151347_ring6pt_c_14.jsonl,1200.0,6,16,6176.6,26137.8,148,16,1,167
B,p3_log_20260912_151408_ring6pt_c_15.jsonl,1200.0,6,11,3845.5,15057.6,131,11,0,144
B,p3_log_20260912_151424_ring6pt_c_16.jsonl,1200.0,6,16,5058.4,20996.8,131,16,0,149
B,p3_log_20260912_151441_ring6pt_c_17.jsonl,1200.0,6,16,4737.8,19364.1,132,16,0,150
B,p3_log_20260912_151458_ring6pt_c_18.jsonl,1200.0,6,15,5091.5,20947.3,139,15,0,156
B,p3_log_20260912_151531_ring6pt_c_19.jsonl,1200.0,6,15,4428.8,17638.8,139,15,2,158
B,p3_log_20260912_151551_ring6pt_c_20.jsonl,1200.0,6,16,5367.7,22328.6,139,16,1,158
