# 逐案: 当前解与下界(离线全知)
k,n_src,T,L,meas,switch,clear,fail,src_tsp,L_lb,meas_lb,T_lb
0,14,4231.1,15575,176,166,14,0,8079,6217,64,1633.4
1,14,5485.5,21428,188,181,17,3,10810,8382,64,2066.4
2,13,4373.0,16490,170,160,13,0,9976,7210,68,1847.1
3,15,4415.8,16454,176,167,16,1,10040,8244,60,2023.7
4,11,3941.9,14024,182,172,11,0,7518,6461,76,1727.3
5,15,4800.5,18167,183,174,16,1,10738,8364,60,2047.9
6,15,3922.0,13975,177,167,15,0,7828,6298,60,1634.7
7,15,4633.1,17140,190,180,15,0,9844,7052,60,1785.4
8,15,4134.3,14556,193,183,15,0,7521,5606,60,1496.3
9,15,4350.3,16131,175,168,17,2,9589,7213,60,1817.7
10,16,4378.7,16243,176,167,17,1,10264,7428,56,1845.7
11,10,3702.6,12683,187,178,11,1,8371,6440,80,1737.9
12,15,4473.1,16485,185,176,15,0,10007,8785,60,2132.0
13,14,4531.3,16867,183,173,14,0,9960,7840,64,1958.0
14,10,3621.1,12176,191,181,10,0,6049,5027,80,1455.3
15,16,4455.3,16366,184,176,18,2,10148,7251,56,1810.1
16,14,4543.4,16867,185,175,14,0,9682,8314,64,2052.9
17,13,4620.6,17278,185,175,13,0,10129,7890,68,1983.0
18,15,4812.1,18095,188,178,15,0,8955,8019,60,1978.8
19,11,4133.6,14833,187,177,11,0,7785,6564,76,1747.9
20,14,4469.6,16393,188,178,15,1,9145,6913,64,1772.5
21,14,4013.8,14794,165,157,15,1,7948,6567,64,1703.4
22,12,4647.5,17448,184,175,13,1,9595,8152,72,2050.4
23,13,4237.0,15750,172,162,13,0,9212,7212,68,1847.3
24,13,4608.2,17096,189,179,13,0,10168,8293,68,2063.6
25,14,4983.1,18766,195,185,14,0,11294,7779,64,1945.7
26,14,4349.4,15777,189,179,14,0,8950,6970,64,1784.0
27,10,3807.4,13257,186,176,10,0,7608,6321,80,1714.3
28,12,4634.2,17131,193,183,12,0,9748,8365,72,2093.1
29,11,4379.3,15951,190,181,12,1,8894,7615,76,1958.0
30,15,4781.1,17896,189,179,16,1,9755,8774,60,2129.9
31,16,4546.6,16833,185,175,16,0,10537,8168,56,1993.6
32,16,4364.5,15968,182,172,19,3,11062,8554,56,2070.8
33,12,4149.5,15068,181,171,12,0,9085,7751,72,1970.2
34,15,4295.1,15886,175,165,16,1,9865,7676,60,1910.3
35,12,4411.0,16105,189,179,14,2,8913,7223,72,1864.5
36,14,4426.4,16192,188,178,14,0,9820,7653,64,1920.7
37,16,4184.6,15443,171,161,16,0,9851,8388,56,2037.5
38,12,4053.5,14323,189,181,13,1,8018,6100,72,1640.0
39,15,4155.6,15288,172,163,15,0,9069,7519,60,1878.8
40,13,4942.5,18677,192,182,13,0,10506,7772,68,1959.4
41,16,4790.6,18213,179,170,17,1,10426,8789,56,2117.9
42,13,4803.7,18109,187,179,14,1,9823,7598,68,1924.7
43,11,4457.2,16331,191,181,11,0,8312,6335,76,1701.9
44,12,4213.8,15164,188,178,13,1,8497,6075,72,1635.0
45,12,4100.2,14921,177,168,13,1,8459,6736,72,1767.2
46,12,4287.5,15548,188,178,12,0,8921,7442,72,1908.3
47,12,4802.5,18033,191,181,12,0,8581,6789,72,1777.8
48,11,4122.6,15108,176,166,11,0,8891,7465,76,1928.1
49,11,4074.3,14281,195,185,12,1,6821,5923,76,1619.6
50,12,4468.1,16896,173,164,12,0,9264,7053,72,1830.6
51,11,3963.7,14304,175,167,13,2,7304,5798,76,1594.7
52,14,4491.9,16400,192,182,14,0,9434,7785,64,1946.9
53,11,4360.3,16026,185,175,11,0,8612,7330,76,1901.0
54,15,4453.0,15975,198,190,16,1,9048,6802,60,1735.5
55,14,4191.7,15208,181,172,15,1,8619,6840,64,1758.0
56,12,4583.2,17026,188,178,12,0,9010,6467,72,1713.3
57,14,4698.4,17792,180,170,14,0,9603,7675,64,1924.9
58,13,4435.3,16542,178,169,14,1,9309,7103,68,1825.6
59,15,4122.1,15205,169,161,15,0,9998,8815,60,2137.9
60,16,4147.2,15001,179,169,17,1,11122,8442,56,2048.4
61,11,4064.4,14397,190,180,11,0,7853,6403,76,1715.7
62,16,4502.1,16960,172,164,18,2,10541,7639,56,1887.8
63,14,4346.8,15799,186,178,17,3,8601,6061,64,1602.2
64,11,5233.2,20061,196,186,11,0,9809,6963,76,1827.5
