# 模块P(贝叶斯概率图)配对实验逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,cert,minpres,coverage,supplement
base(当前采纳),0,16,4398.9,16569,169,160,16,0,0,nan,1980.5,0.0
base(当前采纳),1,14,3631.8,12844,167,158,14,0,0,nan,1851.8,0.0
base(当前采纳),2,13,4732.8,18059,177,168,14,1,0,nan,2266.9,330.1
base(当前采纳),3,14,4338.9,16575,160,151,15,1,0,nan,1773.4,0.0
base(当前采纳),4,14,4046.5,14747,172,164,15,1,0,nan,2220.2,0.0
base(当前采纳),5,14,3794.5,14017,155,146,14,0,0,nan,1915.2,0.0
base(当前采纳),6,15,4529.9,17259,168,160,16,1,0,nan,1967.0,233.5
base(当前采纳),7,10,3639.0,12575,180,171,11,1,0,nan,2242.8,0.0
base(当前采纳),8,10,4019.8,14644,175,166,10,0,0,nan,2236.0,0.0
base(当前采纳),9,11,4175.1,15306,178,169,11,0,0,nan,2269.6,0.0
base(当前采纳),10,10,4418.5,16482,180,172,10,0,0,nan,2307.9,312.8
base(当前采纳),11,10,4175.4,15572,170,161,10,0,0,nan,2162.2,0.0
base(当前采纳),12,15,4194.6,15703,164,156,16,1,0,nan,2028.5,0.0
base(当前采纳),13,10,3976.7,14848,161,152,10,0,0,nan,1964.7,0.0
base(当前采纳),14,13,4109.8,15214,168,159,14,1,0,nan,2039.1,0.0
base(当前采纳),15,12,3907.8,14184,170,161,12,0,0,nan,1984.7,0.0
base(当前采纳),16,16,5024.6,19693,168,160,18,2,0,nan,2055.7,533.2
base(当前采纳),17,14,4281.7,15788,176,168,16,2,0,nan,2062.1,0.0
base(当前采纳),18,16,4719.3,18162,167,160,20,4,0,nan,2082.8,185.5
base(当前采纳),19,16,5112.7,20119,169,161,17,1,0,nan,2021.0,620.9
base(当前采纳),20,14,4413.5,16447,177,169,14,0,0,nan,2274.3,0.0
base(当前采纳),21,12,4341.8,16654,160,151,12,0,0,nan,1792.8,400.0
base(当前采纳),22,13,3958.9,14550,165,156,14,1,0,nan,1874.4,0.0
base(当前采纳),23,16,4208.1,15855,160,151,18,2,0,nan,1836.1,0.0
base(当前采纳),24,14,4392.2,16376,175,166,16,2,0,nan,2133.1,256.4
base(当前采纳),25,16,4180.8,15449,170,161,16,0,0,nan,1991.3,0.0
base(当前采纳),26,16,4656.3,17887,168,159,16,0,0,nan,2020.5,351.2
base(当前采纳),27,14,3815.8,13869,162,153,17,3,0,nan,1980.9,0.0
base(当前采纳),28,14,4287.7,15988,170,161,17,3,0,nan,1978.3,0.0
base(当前采纳),29,12,3612.6,13243,152,144,12,0,0,nan,1766.4,0.0
base(当前采纳),30,14,4802.1,18556,171,163,15,1,0,nan,2041.9,528.9
base(当前采纳),31,12,3680.5,12968,171,163,15,3,0,nan,2133.2,0.0
base(当前采纳),32,16,4270.1,15886,170,160,17,1,0,nan,1959.1,0.0
base(当前采纳),33,15,4204.7,16009,156,148,15,0,0,nan,1882.2,273.0
base(当前采纳),34,16,4448.9,16980,162,157,18,2,0,nan,1946.3,339.7
base(当前采纳),35,13,4011.9,14870,163,155,14,1,0,nan,2115.5,146.0
base(当前采纳),36,10,3203.1,11171,154,146,11,1,0,nan,1957.3,0.0
base(当前采纳),37,14,4388.2,16866,159,150,14,0,0,nan,1930.2,0.0
base(当前采纳),38,14,3984.6,14613,166,159,15,1,0,nan,1997.5,0.0
base(当前采纳),39,16,5147.0,21000,146,137,16,0,0,nan,1894.0,891.4
base(当前采纳),40,13,3746.7,13504,165,156,13,0,0,nan,1938.6,0.0
base(当前采纳),41,11,3869.1,14105,167,158,11,0,0,nan,2000.2,0.0
base(当前采纳),42,11,4155.7,15523,167,158,12,1,0,nan,1992.7,464.3
base(当前采纳),43,15,4576.5,17588,165,156,16,1,0,nan,1922.7,146.0
base(当前采纳),44,13,4755.7,18308,173,164,13,0,0,nan,2134.7,445.0
base(当前采纳),45,10,4039.6,15073,163,154,12,2,0,nan,2125.8,146.0
base(当前采纳),46,15,4242.1,15941,164,156,16,1,0,nan,2027.3,0.0
base(当前采纳),47,13,3570.4,12542,167,159,14,1,0,nan,1978.1,0.0
base(当前采纳),48,14,4102.0,15120,169,160,15,1,0,nan,2146.8,0.0
base(当前采纳),49,15,4408.3,16396,177,169,15,0,0,nan,2250.7,413.8
base(当前采纳),50,10,4031.1,14675,174,167,13,3,0,nan,2256.1,0.0
base(当前采纳),51,15,4348.6,16178,174,165,16,1,0,nan,2159.8,0.0
base(当前采纳),52,10,4387.8,16509,173,165,12,2,0,nan,2059.5,274.0
base(当前采纳),53,10,4063.0,15055,168,159,11,1,0,nan,2199.6,0.0
base(当前采纳),54,14,3987.2,15041,152,143,16,2,0,nan,1778.9,0.0
base(当前采纳),55,14,4123.5,15703,153,145,15,1,0,nan,1615.1,0.0
base(当前采纳),56,13,4084.6,14973,171,161,16,3,0,nan,2139.1,0.0
base(当前采纳),57,11,4233.1,15640,176,167,12,1,0,nan,2117.6,442.3
