# n=8 半径扫描: 逐案
arm,r,margin_m,k,n_src,T,dist,meas,fail,full
当前候选 n=9 r=1150,1150.0,180.1,10,14,4211.7,15543,173,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4889.7,18769,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4529.7,16859,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4454.1,16286,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4504.8,16679,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4622.5,16937,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3802.4,13237,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4763.8,17844,187,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4552.2,16716,191,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4527.5,16477,197,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4302.5,15768,180,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4281.4,15342,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4672.0,17305,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4570.2,17411,174,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4122.3,15042,176,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3769.7,13129,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4593.9,17029,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3722.3,12952,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3991.8,14179,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,3983.0,14485,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3892.9,13774,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4570.8,17314,173,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4708.8,17449,190,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4794.7,17959,189,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4573.1,16686,198,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4388.1,15945,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4310.3,15787,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4745.9,18019,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4578.1,16936,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4487.9,16135,200,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4028.7,14189,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4685.4,17547,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4753.1,17760,189,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4544.9,16840,188,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3934.7,13774,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4368.4,15762,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4075.3,14427,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4582.3,16981,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4146.2,15116,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4276.7,15743,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4807.1,17955,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3772.5,13303,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3701.9,12985,175,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4054.6,14318,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4378.1,15951,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4309.5,15793,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4462.2,16221,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4164.3,14822,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4243.9,15799,168,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4027.6,14328,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4403.6,16198,186,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3879.8,13829,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4484.0,16270,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3985.4,14162,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4043.1,14401,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4192.6,15373,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4305.2,15601,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3831.9,13529,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,5014.4,19292,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4505.1,16650,183,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4069.5,14493,187,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4952.8,18909,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4499.9,16365,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4642.2,17816,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4316.4,15827,180,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4570.9,16679,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4462.1,16475,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4001.3,14741,168,0,1
