# 单环半径-余量-时间 帕累托(配对逐案)
r,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,on_way_homing,queue_homing,recovery
985,0,14,3545.7,13163,141,135,15,1,1,1643.9,0.0,617.5,1270.2,0.0,14.0,0.0,0.0
985,1,15,4328.3,17237,134,124,19,4,1,1773.3,400.2,443.5,1663.7,0.0,33.6,14.0,0.0
985,2,16,4300.2,17166,132,124,17,1,1,1663.2,0.0,522.0,2101.0,0.0,0.0,14.0,0.0
985,3,16,4630.7,19124,121,115,18,2,1,1506.5,576.3,541.2,1978.7,0.0,0.0,28.0,0.0
985,4,10,4522.3,17812,153,145,10,0,1,1906.1,595.8,307.1,1713.4,0.0,0.0,0.0,0.0
985,5,15,3853.9,14840,136,128,16,1,1,1678.9,0.0,444.7,1716.3,0.0,0.0,14.0,0.0
985,6,13,4077.1,16020,136,128,13,0,1,1900.9,0.0,218.0,1958.2,0.0,0.0,0.0,0.0
985,7,10,3776.6,14058,154,145,10,0,1,1779.4,410.9,446.1,1140.2,0.0,0.0,0.0,0.0
985,8,14,4152.1,16320,136,129,17,3,1,1741.3,0.0,365.1,2003.7,0.0,0.0,42.0,0.0
985,9,11,3582.5,13392,143,134,11,0,1,1779.3,0.0,463.6,1339.6,0.0,0.0,0.0,0.0
985,10,16,3807.1,14956,124,116,16,0,1,1576.7,0.0,518.0,1712.4,0.0,0.0,0.0,0.0
985,11,11,3477.1,12680,147,142,14,3,1,1842.1,0.0,411.8,1181.2,0.0,14.0,28.0,0.0
985,12,12,4388.7,17499,139,131,13,1,1,1817.9,378.3,319.0,1859.6,0.0,14.0,0.0,0.0
985,13,10,3762.8,14124,149,140,11,1,1,1724.5,0.0,468.8,1555.4,0.0,0.0,14.0,0.0
985,14,16,4068.4,15762,140,133,17,1,1,1960.8,0.0,219.7,1873.9,0.0,14.0,0.0,0.0
985,15,12,3747.9,14025,148,140,13,1,1,1873.4,0.0,355.0,1505.5,0.0,0.0,14.0,0.0
985,16,16,5170.2,21041,146,137,21,5,1,1948.6,1077.5,220.3,1857.8,0.0,0.0,66.1,0.0
985,17,13,3738.0,14040,145,137,14,1,1,1798.6,0.0,509.3,1416.1,0.0,0.0,14.0,0.0
985,18,11,3908.1,14796,150,141,12,1,1,2024.9,119.9,159.8,1589.5,0.0,0.0,14.0,0.0
985,19,14,3848.8,14704,140,132,16,2,1,1676.7,0.0,554.4,1589.7,0.0,14.0,14.0,0.0
985,20,13,4137.6,15998,146,137,15,2,1,1804.2,0.0,408.7,1896.7,0.0,0.0,28.0,0.0
985,21,11,3795.3,14072,154,147,14,3,1,1958.9,0.0,375.3,1419.1,0.0,28.0,14.0,0.0
985,22,11,3943.0,15160,143,135,13,2,1,1884.8,418.1,370.7,1241.5,0.0,14.0,14.0,0.0
985,23,13,4659.0,18870,137,129,15,2,1,1718.7,442.5,439.5,2030.3,0.0,0.0,28.0,0.0
985,24,12,3748.4,13817,155,147,13,1,1,1883.0,0.0,359.6,1491.8,0.0,0.0,14.0,0.0
985,25,15,4083.2,15481,153,144,16,1,1,2014.5,0.0,146.8,1907.9,0.0,0.0,14.0,0.0
985,26,16,4483.1,17811,141,133,17,1,1,1936.6,108.1,252.2,2172.2,0.0,14.0,0.0,0.0
985,27,16,4043.8,15914,131,123,17,1,1,1868.6,0.0,220.1,1941.0,0.0,0.0,14.0,0.0
985,28,10,3732.5,14103,145,137,10,0,1,1884.7,0.0,325.5,1522.3,0.0,0.0,0.0,0.0
985,29,15,4186.5,16527,135,128,16,1,1,1716.3,401.8,375.2,1679.1,0.0,0.0,14.0,0.0
985,30,15,4384.8,17309,142,135,16,1,1,1801.2,243.3,342.3,1984.0,0.0,0.0,14.0,0.0
985,31,16,4027.8,15494,142,136,17,1,1,1689.6,0.0,497.2,1827.0,0.0,0.0,14.0,0.0
985,32,10,3894.7,14783,149,140,11,1,1,1825.1,0.0,398.3,1657.3,0.0,0.0,14.0,0.0
985,33,16,4325.3,16872,146,138,17,1,1,1962.6,145.0,214.8,1988.9,0.0,0.0,14.0,0.0
985,34,14,4132.6,16083,142,133,15,1,1,1752.7,0.0,405.7,1960.1,0.0,0.0,14.0,0.0
985,35,15,3763.5,14567,129,124,17,2,1,1517.7,0.0,694.7,1523.1,0.0,14.0,14.0,0.0
985,36,11,3658.6,13438,153,145,13,2,1,1839.6,0.0,461.9,1330.1,0.0,27.0,0.0,0.0
985,37,10,3645.3,13327,155,149,12,2,1,2006.6,0.0,245.8,1364.9,0.0,14.0,14.0,0.0
985,38,15,4145.7,16274,136,130,17,2,1,1691.5,0.0,476.3,1949.9,0.0,14.0,14.0,0.0
985,39,10,4029.9,15069,161,155,12,2,1,1958.0,250.9,395.8,1397.3,0.0,14.0,14.0,0.0
985,40,12,3951.9,15435,135,127,13,1,1,1762.5,0.0,426.1,1749.3,0.0,14.0,0.0,0.0
985,41,14,3874.5,15087,132,127,14,0,1,1761.4,0.0,347.2,1765.9,0.0,0.0,0.0,0.0
985,42,13,3975.7,15443,138,129,14,1,1,1741.5,0.0,436.9,1783.3,0.0,0.0,14.0,0.0
