# V2 方案配对实验逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,status,prob_discovery,localize,cover_fallback,on_way,queue_clear,exit
base(现行),0,13,3780.9,14369,141,134,14,1,1,completed,0.0,0.0,0.0,507.5,1470.0,0.0
base(现行),1,12,4130.1,15681,156,148,14,2,1,completed,0.0,0.0,0.0,407.6,1680.5,0.0
base(现行),2,11,3656.8,13474,152,144,12,1,1,completed,0.0,0.0,0.0,508.7,782.7,0.0
base(现行),3,13,4477.8,17844,142,134,13,0,1,completed,0.0,0.0,0.0,218.6,1844.5,0.0
base(现行),4,15,4081.6,16043,134,125,16,1,1,completed,0.0,0.0,0.0,478.8,1836.0,0.0
base(现行),5,10,3195.1,11151,154,145,10,0,1,completed,0.0,0.0,0.0,427.9,837.2,0.0
base(现行),6,11,3674.5,13688,147,141,13,2,1,completed,0.0,0.0,0.0,318.4,1374.9,0.0
base(现行),7,10,4055.4,15357,156,148,12,2,1,completed,0.0,0.0,0.0,66.4,1759.7,0.0
base(现行),8,12,3651.5,13983,134,125,12,0,1,completed,0.0,0.0,0.0,461.6,1319.9,0.0
base(现行),9,15,4234.2,16926,130,121,16,1,1,completed,0.0,0.0,0.0,429.5,1634.2,0.0
base(现行),10,14,4174.6,15933,154,145,15,1,1,completed,0.0,0.0,0.0,117.3,1929.6,0.0
base(现行),11,15,3979.6,15218,145,136,15,0,1,completed,0.0,0.0,0.0,388.5,1391.0,0.0
base(现行),12,15,4640.4,18642,140,131,17,2,1,completed,0.0,0.0,0.0,447.4,1947.1,0.0
base(现行),13,10,3715.1,13691,156,147,10,0,1,completed,0.0,0.0,0.0,124.8,1450.6,0.0
base(现行),14,16,4592.6,18163,148,140,16,0,1,completed,0.0,0.0,0.0,209.6,2010.9,0.0
base(现行),15,13,3739.6,14368,135,126,13,0,1,completed,0.0,0.0,0.0,458.7,1465.9,0.0
base(现行),16,16,3548.3,14221,104,98,18,2,1,completed,0.0,0.0,0.0,752.4,1311.3,0.0
base(现行),17,13,3723.8,14169,139,130,13,0,1,completed,0.0,0.0,0.0,316.1,1568.0,0.0
base(现行),18,15,3815.1,14626,137,130,15,0,1,completed,0.0,0.0,0.0,626.4,1511.6,0.0
base(现行),19,11,3959.5,15218,145,136,11,0,1,completed,0.0,0.0,0.0,252.8,1574.2,0.0
base(现行),20,15,4917.8,20099,138,130,16,1,1,completed,0.0,0.0,0.0,509.6,1818.2,0.0
base(现行),21,12,5113.9,20899,146,138,14,2,1,completed,0.0,0.0,0.0,344.0,1776.9,0.0
base(现行),22,12,3840.1,14835,136,130,13,1,1,completed,0.0,0.0,0.0,352.0,1552.5,0.0
base(现行),23,15,3986.4,15667,130,122,17,2,1,completed,0.0,0.0,0.0,453.4,1768.8,0.0
base(现行),24,13,3864.8,14689,145,137,13,0,1,completed,0.0,0.0,0.0,241.5,1622.3,0.0
base(现行),25,13,3787.5,14343,143,136,14,1,1,completed,0.0,0.0,0.0,356.2,1492.8,0.0
base(现行),26,13,4286.8,16964,139,131,14,1,1,completed,0.0,0.0,0.0,247.9,1660.8,0.0
base(现行),27,12,3908.2,14721,152,144,12,0,1,completed,0.0,0.0,0.0,277.9,1498.3,0.0
base(现行),28,11,3786.2,14316,146,138,11,0,1,completed,0.0,0.0,0.0,529.6,1425.1,0.0
base(现行),29,16,3531.5,14243,101,98,16,0,1,completed,0.0,0.0,0.0,807.8,1395.8,0.0
base(现行),30,11,4374.6,16948,155,146,14,3,1,completed,0.0,0.0,0.0,243.3,2061.7,0.0
base(现行),31,11,4017.7,15459,146,138,12,1,1,completed,0.0,0.0,0.0,198.5,1771.6,0.0
base(现行),32,16,4540.4,18292,135,127,16,0,1,completed,0.0,0.0,0.0,631.9,1980.1,0.0
base(现行),33,14,3785.0,14475,138,130,14,0,1,completed,0.0,0.0,0.0,345.1,1600.0,0.0
base(现行),34,10,4272.6,16428,157,149,11,1,1,completed,0.0,0.0,0.0,116.4,1705.8,0.0
base(现行),35,14,4129.6,15918,147,138,15,1,1,completed,0.0,0.0,0.0,425.6,1746.9,0.0
base(现行),36,14,4395.1,17361,142,137,16,2,1,completed,0.0,0.0,0.0,410.3,1729.4,0.0
base(现行),37,11,3533.0,13335,136,128,12,1,1,completed,0.0,0.0,0.0,395.6,1321.2,0.0
base(现行),38,12,4136.4,16047,145,136,14,2,1,completed,0.0,0.0,0.0,469.2,1560.8,0.0
base(现行),39,14,4462.3,17652,145,137,14,0,1,completed,0.0,0.0,0.0,346.1,1687.2,0.0
base(现行),40,10,3936.8,14774,156,149,11,1,1,completed,0.0,0.0,0.0,140.6,1647.2,0.0
base(现行),41,14,3436.1,13216,122,113,14,0,1,completed,0.0,0.0,0.0,435.2,1330.7,0.0
base(现行),42,11,3759.4,14247,143,134,13,2,1,completed,0.0,0.0,0.0,393.0,1450.5,0.0
base(现行),43,11,4189.0,16365,144,135,13,2,1,completed,0.0,0.0,0.0,336.7,1889.9,0.0
base(现行),44,10,3764.1,13800,160,151,11,1,1,completed,0.0,0.0,0.0,245.4,1466.9,0.0
base(现行),45,10,3602.8,13409,146,138,11,1,1,completed,0.0,0.0,0.0,552.6,1240.0,0.0
base(现行),46,15,4453.0,17730,139,131,17,2,1,completed,0.0,0.0,0.0,356.0,2222.9,0.0
base(现行),47,16,4226.0,16860,129,123,18,2,1,completed,0.0,0.0,0.0,316.0,1718.3,0.0
base(现行),48,11,4245.8,16574,147,138,12,1,1,completed,0.0,0.0,0.0,256.8,1592.1,0.0
base(现行),49,14,4303.3,16771,147,138,16,2,1,completed,0.0,0.0,0.0,398.5,2029.8,0.0
base(现行),50,13,3565.1,13085,148,140,14,1,1,completed,0.0,0.0,0.0,385.5,1214.9,0.0
base(现行),51,14,4369.4,17287,140,133,17,3,1,completed,0.0,0.0,0.0,493.6,2069.5,0.0
base(现行),52,15,3963.2,15626,128,120,16,1,1,completed,0.0,0.0,0.0,570.1,1669.3,0.0
base(现行),53,16,4298.2,17451,122,115,17,1,1,completed,0.0,0.0,0.0,556.1,1824.2,0.0
base(现行),54,14,4072.2,15616,147,138,16,2,1,completed,0.0,0.0,0.0,514.3,1466.6,0.0
base(现行),55,12,4176.6,16333,143,135,12,0,1,completed,0.0,0.0,0.0,430.2,1924.7,0.0
base(现行),56,12,4522.5,17598,158,150,13,1,1,completed,0.0,0.0,0.0,77.7,2082.5,0.0
base(现行),57,11,3810.1,14336,149,140,12,1,1,completed,0.0,0.0,0.0,281.0,1473.8,0.0
base(现行),58,13,3578.1,13446,137,130,16,3,1,completed,0.0,0.0,0.0,336.5,1364.3,0.0
base(现行),59,16,3907.5,15418,125,116,17,1,1,completed,0.0,0.0,0.0,614.4,1719.0,0.0
base(现行),60,12,3702.5,14163,136,127,13,1,1,completed,0.0,0.0,0.0,460.6,1470.8,0.0
base(现行),61,16,4196.6,16623,133,124,17,1,1,completed,0.0,0.0,0.0,339.5,1921.1,0.0
base(现行),62,10,3856.7,14383,156,147,11,1,1,completed,0.0,0.0,0.0,206.6,1267.1,0.0
base(现行),63,11,3593.9,13535,139,131,13,2,1,completed,0.0,0.0,0.0,565.6,1312.6,0.0
base(现行),64,16,4217.3,17001,123,116,18,2,1,completed,0.0,0.0,0.0,567.1,1868.7,0.0
base(现行),65,14,3939.1,14996,146,140,14,0,1,completed,0.0,0.0,0.0,821.2,1555.3,0.0
base(现行),66,14,4105.2,16261,132,123,14,0,1,completed,0.0,0.0,0.0,462.2,1882.1,0.0
base(现行),67,15,4267.8,16669,143,135,18,3,1,completed,0.0,0.0,0.0,436.8,2012.5,0.0
base(现行),68,16,4402.4,17837,126,119,18,2,1,completed,0.0,0.0,0.0,570.4,1651.1,0.0
base(现行),69,12,3832.5,14747,138,130,13,1,1,completed,0.0,0.0,0.0,327.0,1618.5,0.0
base(现行),70,12,4485.0,17915,141,134,13,1,1,completed,0.0,0.0,0.0,462.0,1899.8,0.0
base(现行),71,16,5166.5,21332,137,129,18,2,1,completed,0.0,0.0,0.0,333.5,2247.0,0.0
base(现行),72,13,4717.0,18965,144,136,14,1,1,completed,0.0,0.0,0.0,514.8,1961.5,0.0
base(现行),73,11,4265.2,16596,150,141,11,0,1,completed,0.0,0.0,0.0,440.2,1661.2,0.0
base(现行),74,15,3961.7,15513,131,123,17,2,1,completed,0.0,0.0,0.0,647.9,1741.9,0.0
base(现行),75,13,4124.0,16125,140,134,13,0,1,completed,0.0,0.0,0.0,543.5,1860.5,0.0
base(现行),76,16,4167.4,16112,145,137,17,1,1,completed,0.0,0.0,0.0,428.0,1920.9,0.0
base(现行),77,14,3792.2,14271,146,138,14,0,1,completed,0.0,0.0,0.0,290.2,1500.7,0.0
base(现行),78,15,3713.5,14372,128,121,16,1,1,completed,0.0,0.0,0.0,441.9,1454.7,0.0
base(现行),79,12,3651.8,13679,144,136,12,0,1,completed,0.0,0.0,0.0,299.5,1306.6,0.0
base(现行),80,12,3649.0,13580,147,138,12,0,1,completed,0.0,0.0,0.0,744.1,1396.4,0.0
base(现行),81,16,4186.2,16696,129,122,16,0,1,completed,0.0,0.0,0.0,601.5,1942.7,0.0
base(现行),82,16,4423.1,18136,120,113,17,1,1,completed,0.0,0.0,0.0,472.1,1794.1,0.0
base(现行),83,12,3565.7,13369,140,132,12,0,1,completed,0.0,0.0,0.0,552.6,1220.6,0.0
base(现行),84,11,3934.3,15056,146,138,11,0,1,completed,0.0,0.0,0.0,467.3,1661.8,0.0
base(现行),85,12,3840.9,14309,154,146,13,1,1,completed,0.0,0.0,0.0,483.8,1336.5,0.0
base(现行),86,15,3524.0,13470,127,120,15,0,1,completed,0.0,0.0,0.0,756.3,1154.3,0.0
base(现行),87,15,3667.7,13724,142,135,16,1,1,completed,0.0,0.0,0.0,524.2,1370.2,0.0
base(现行),88,12,3533.7,13428,132,125,13,1,1,completed,0.0,0.0,0.0,778.3,1194.5,0.0
base(现行),89,13,3577.9,13365,141,135,13,0,1,completed,0.0,0.0,0.0,559.4,1242.6,0.0
base(现行),90,13,3640.2,13671,140,132,16,3,1,completed,0.0,0.0,0.0,526.5,1320.9,0.0
base(现行),91,10,4033.5,15308,154,146,12,2,1,completed,0.0,0.0,0.0,337.3,1526.8,0.0
base(现行),92,12,4535.6,17828,153,145,12,0,1,completed,0.0,0.0,0.0,277.6,1759.2,0.0
base(现行),93,12,3642.4,13422,151,143,12,0,1,completed,0.0,0.0,0.0,500.8,1329.1,0.0
base(现行),94,16,4277.0,16940,136,129,16,0,1,completed,0.0,0.0,0.0,368.0,2023.0,0.0
base(现行),95,12,3462.3,12686,145,137,13,1,1,completed,0.0,0.0,0.0,574.3,1085.9,0.0
base(现行),96,12,3502.4,13112,138,130,12,0,1,completed,0.0,0.0,0.0,458.3,1233.7,0.0
base(现行),97,11,3137.9,11410,135,126,11,0,1,completed,0.0,0.0,0.0,498.8,912.2,0.0
base(现行),98,11,4002.4,15237,151,142,12,1,1,completed,0.0,0.0,0.0,271.1,1612.7,0.0
base(现行),99,13,4213.6,16163,154,146,13,0,1,completed,0.0,0.0,0.0,246.2,1919.3,0.0
v2(七点 r=1500),0,13,7595.5,32657,170,163,11,2,0,incomplete,0.0,1389.3,0.0,765.3,0.0,0.0
v2(七点 r=1500),1,12,7903.9,34224,167,163,13,2,0,incomplete,0.0,1496.8,0.0,416.3,0.0,0.0
v2(七点 r=1500),2,11,9025.3,39127,193,187,10,1,0,incomplete,0.0,1225.9,0.0,535.4,0.0,0.0
v2(七点 r=1500),3,13,8918.4,38727,185,179,15,3,0,incomplete,0.0,1089.7,0.0,618.4,0.0,0.0
v2(七点 r=1500),4,15,8782.7,39214,145,138,17,4,0,incomplete,0.0,1227.5,0.0,898.5,0.0,0.0
v2(七点 r=1500),5,10,7973.8,34194,181,177,11,1,1,completed,0.0,1009.3,0.0,143.1,0.0,0.0
v2(七点 r=1500),6,11,8088.7,34473,194,189,7,0,0,incomplete,0.0,1455.5,0.0,413.7,0.0,0.0
v2(七点 r=1500),7,10,8313.1,35281,202,196,11,2,0,incomplete,0.0,1648.6,0.0,0.0,0.0,0.0
v2(七点 r=1500),8,12,7846.1,34076,163,158,12,1,0,incomplete,0.0,1830.2,0.0,530.8,0.0,0.0
v2(七点 r=1500),9,15,8672.7,38454,154,145,15,4,0,incomplete,0.0,1384.0,0.0,671.5,0.0,0.0
v2(七点 r=1500),10,14,9213.4,40682,169,164,14,1,0,incomplete,0.0,1671.9,0.0,565.8,0.0,0.0
v2(七点 r=1500),11,15,8310.0,37075,138,134,15,2,0,incomplete,0.0,1697.2,0.0,203.5,0.0,0.0
v2(七点 r=1500),12,15,10410.3,47247,149,146,14,0,0,incomplete,0.0,1004.4,0.0,333.8,0.0,0.0
v2(七点 r=1500),13,10,8190.1,34575,206,202,9,1,0,incomplete,0.0,1543.6,0.0,667.5,0.0,0.0
v2(七点 r=1500),14,16,10653.3,48646,142,136,16,1,0,incomplete,0.0,1095.5,0.0,123.0,0.0,0.0
v2(七点 r=1500),15,13,9158.2,40226,177,173,11,0,0,incomplete,0.0,1515.2,0.0,435.4,0.0,0.0
v2(七点 r=1500),16,16,8607.7,38919,123,117,20,4,1,completed,0.0,1521.5,0.0,448.2,0.0,0.0
v2(七点 r=1500),17,13,8757.6,38583,166,163,10,1,0,incomplete,0.0,1237.9,0.0,390.9,0.0,0.0
v2(七点 r=1500),18,15,10726.5,48712,151,145,18,3,1,completed,0.0,1473.2,0.0,508.2,0.0,0.0
v2(七点 r=1500),19,11,9489.3,41347,196,187,11,1,0,incomplete,0.0,1408.7,0.0,112.2,0.0,0.0
v2(七点 r=1500),20,15,8066.0,35680,144,140,14,0,0,incomplete,0.0,1594.5,0.0,624.2,0.0,0.0
v2(七点 r=1500),21,12,8526.5,36357,201,197,11,1,0,incomplete,0.0,840.9,0.0,618.5,0.0,0.0
v2(七点 r=1500),22,12,9087.2,39406,193,191,10,0,0,incomplete,0.0,1071.6,0.0,429.1,0.0,0.0
v2(七点 r=1500),23,15,9489.5,42827,144,139,13,0,0,incomplete,0.0,1187.0,0.0,274.7,0.0,0.0
v2(七点 r=1500),24,13,8406.6,36753,164,153,19,6,1,completed,0.0,1227.3,0.0,630.5,0.0,0.0
v2(七点 r=1500),25,13,10193.9,45414,177,164,14,4,0,incomplete,0.0,805.5,0.0,287.7,0.0,0.0
v2(七点 r=1500),26,13,10006.4,44452,176,170,14,2,0,incomplete,0.0,1919.3,0.0,194.7,0.0,0.0
v2(七点 r=1500),27,12,8440.7,36199,192,188,11,1,0,incomplete,0.0,965.9,0.0,133.0,0.0,0.0
v2(七点 r=1500),28,11,9006.0,38925,196,188,11,1,0,incomplete,0.0,1958.1,0.0,235.6,0.0,0.0
v2(七点 r=1500),29,16,9100.4,41282,130,126,14,1,0,incomplete,0.0,2039.0,0.0,629.7,0.0,0.0
v2(七点 r=1500),30,11,8757.4,37582,202,196,7,0,0,incomplete,0.0,1568.6,0.0,661.2,0.0,0.0
v2(七点 r=1500),31,11,8106.1,34651,187,183,12,1,1,completed,0.0,1460.5,0.0,392.8,0.0,0.0
v2(七点 r=1500),32,16,8551.9,38574,128,124,15,1,0,incomplete,0.0,2239.0,0.0,831.3,0.0,0.0
v2(七点 r=1500),33,14,9782.1,43586,169,162,12,1,0,incomplete,0.0,1577.9,0.0,802.5,0.0,0.0
v2(七点 r=1500),34,10,8586.9,36145,220,215,9,1,0,incomplete,0.0,845.6,0.0,398.5,0.0,0.0
v2(七点 r=1500),35,14,7368.1,32141,146,141,15,3,0,incomplete,0.0,1714.6,0.0,972.6,0.0,0.0
v2(七点 r=1500),36,14,8853.9,39024,165,158,14,2,0,incomplete,0.0,1265.5,0.0,647.3,0.0,0.0
v2(七点 r=1500),37,11,8026.2,33871,200,193,13,3,0,incomplete,0.0,746.6,0.0,630.9,0.0,0.0
v2(七点 r=1500),38,12,8977.8,38619,203,199,8,0,0,incomplete,0.0,386.3,0.0,303.5,0.0,0.0
v2(七点 r=1500),39,14,8846.3,39062,162,152,16,4,0,incomplete,0.0,1896.1,0.0,427.1,0.0,0.0
v2(七点 r=1500),40,10,7903.2,32936,213,211,8,0,0,incomplete,0.0,1098.7,0.0,605.4,0.0,0.0
v2(七点 r=1500),41,14,8356.4,36937,153,149,11,0,0,incomplete,0.0,1393.1,0.0,382.4,0.0,0.0
v2(七点 r=1500),42,11,8394.6,36258,183,178,10,0,0,incomplete,0.0,1447.5,0.0,254.4,0.0,0.0
v2(七点 r=1500),43,11,9005.5,38602,206,201,12,3,0,incomplete,0.0,1428.0,0.0,224.4,0.0,0.0
v2(七点 r=1500),44,10,7438.0,30655,213,207,7,0,0,incomplete,0.0,1307.7,0.0,759.2,0.0,0.0
v2(七点 r=1500),45,10,7500.6,31568,190,186,11,2,0,incomplete,0.0,1372.2,0.0,407.4,0.0,0.0
