# base + TSP 微调 配对逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(δ=300),0,15,4190.8,16409,140,134,15,0,1,1539.1,374.0,696.0,1581.6,0.0,0.0,0.0,0.0
base(δ=300),1,10,3863.8,14564,151,143,11,1,1,2110.9,0.0,149.2,1589.8,0.0,0.0,14.0,0.0
base(δ=300),2,10,3686.6,13968,142,133,10,0,1,1827.1,0.0,425.8,1433.7,0.0,0.0,0.0,0.0
base(δ=300),3,16,3865.7,14813,137,129,19,3,1,1784.1,0.0,509.4,1531.2,0.0,28.0,13.0,0.0
base(δ=300),4,10,3732.4,14042,147,139,10,0,1,2035.3,0.0,178.7,1518.5,0.0,0.0,0.0,0.0
base(δ=300),5,14,4019.2,16096,123,115,14,0,1,1741.3,0.0,371.6,1906.4,0.0,0.0,0.0,0.0
base(δ=300),6,15,4388.0,17375,141,133,15,0,1,1917.0,0.0,276.7,2194.3,0.0,0.0,0.0,0.0
base(δ=300),7,11,3913.9,15195,138,130,11,0,1,1931.1,0.0,283.3,1699.6,0.0,0.0,0.0,0.0
base(δ=300),8,15,3594.5,14117,117,108,16,1,1,1539.6,0.0,658.8,1382.1,0.0,14.0,0.0,0.0
base(δ=300),9,11,3611.6,13398,147,139,12,1,1,1939.9,0.0,374.7,1283.0,0.0,14.0,0.0,0.0
base(δ=300),10,14,3782.9,14465,137,129,16,2,1,1651.4,0.0,687.9,1415.7,0.0,28.0,0.0,0.0
base(δ=300),11,10,3375.0,12255,147,139,10,0,1,1924.3,0.0,287.6,1163.1,0.0,0.0,0.0,0.0
base(δ=300),12,12,3975.4,15432,139,131,13,1,1,1897.4,0.0,396.1,1667.9,0.0,14.0,0.0,0.0
base(δ=300),13,12,3867.9,14615,149,140,12,0,1,1958.7,0.0,310.0,1599.2,0.0,0.0,0.0,0.0
base(δ=300),14,12,3546.2,13096,146,137,12,0,1,1815.5,0.0,478.9,1251.7,0.0,0.0,0.0,0.0
base(δ=300),15,10,3335.3,11971,150,141,10,0,1,1786.7,0.0,541.4,1007.2,0.0,0.0,0.0,0.0
base(δ=300),16,11,3417.1,12371,149,140,12,1,1,1960.7,0.0,299.2,1143.2,0.0,14.0,0.0,0.0
base(δ=300),17,14,4000.2,15271,147,141,14,0,1,1933.0,0.0,276.6,1790.6,0.0,0.0,0.0,0.0
base(δ=300),18,14,3882.8,15019,136,129,14,0,1,1639.7,0.0,547.4,1695.7,0.0,0.0,0.0,0.0
base(δ=300),19,13,3942.1,15026,146,139,14,1,1,1790.4,0.0,554.3,1583.4,0.0,0.0,14.0,0.0
base(δ=300),20,16,3927.4,15807,115,108,17,1,1,1761.7,0.0,374.0,1777.7,0.0,14.0,0.0,0.0
base(δ=300),21,14,3737.9,13900,149,140,15,1,1,1782.0,0.0,537.8,1404.1,0.0,14.0,0.0,0.0
base(δ=300),22,11,3930.0,14930,149,141,12,1,1,1860.4,0.0,434.5,1621.1,0.0,14.0,0.0,0.0
base(δ=300),23,16,4466.5,18013,131,123,18,2,1,1828.7,305.4,436.5,1868.0,0.0,28.0,0.0,0.0
base(δ=300),24,16,3641.2,14146,123,114,17,1,1,1507.4,0.0,736.0,1383.8,0.0,14.0,0.0,0.0
base(δ=300),25,10,3743.8,14204,143,135,11,1,1,1804.2,0.0,496.1,1429.5,0.0,0.0,14.0,0.0
base(δ=300),26,13,3522.5,13028,143,137,13,0,1,1782.0,0.0,492.1,1248.4,0.0,0.0,0.0,0.0
base(δ=300),27,11,3594.9,13269,148,140,13,2,1,1845.2,0.0,495.5,1226.2,0.0,14.0,14.0,0.0
