冻结开关: True
极端场景压力测试: 每类 200 次
场景                              全清率     漏清例    平均(s)   P95(s)      最大(s)     漏清率95%上界
随机·全定向                       100.0%       0     9062     9934      11741        1.49%
随机·50%定向                     100.0%       0     8712     9728      10071        1.49%
随机·全向                        100.0%       0     8150     8746       9310        1.49%
上界16源·定向50%                  100.0%       0     8615     9364      10127        1.49%
下界10源·定向50%                  100.0%       0     8608     9172      10039        1.49%
最坏接收(全1000m)+定向50%           100.0%       0     9585    10648      12013        1.49%
边界外指(全)                      100.0%       0    11240    13905      15749        1.49%
边界切向(全)                      100.0%       0     8467     9634      10489        1.49%
近中心背向(全)                     100.0%       0     7003     7400       8003        1.49%
近简并双源(全)                     100.0%       0     9087     9914      10626        1.49%
合计漏清 0 例
