# 问题四 模块P 配对实验逐案
p_dir,arm,k,n_src,T,dist,meas,switch,clear,fail,cert,skip
0.50,base(当前采纳),0,11,7166.8,25434,341,314,13,2,0,0
0.50,base(当前采纳),1,15,7082.9,24979,339,314,16,1,0,0
0.50,base(当前采纳),2,10,7490.2,24626,423,397,11,1,0,0
0.50,base(当前采纳),3,16,6604.7,25713,234,209,17,1,0,0
0.50,base(当前采纳),4,15,7777.6,28148,351,315,16,1,0,0
0.50,base(当前采纳),5,13,7342.3,24147,412,388,13,0,0,0
0.50,base(当前采纳),6,13,7115.2,23656,391,364,13,0,0,0
0.50,base(当前采纳),7,16,8963.7,32344,410,359,18,2,0,0
0.50,base(当前采纳),8,15,8834.5,32997,367,325,15,0,0,0
0.50,base(当前采纳),9,10,7661.0,25525,422,396,10,0,0,0
0.50,base(当前采纳),10,12,8243.2,28221,427,401,13,1,0,0
0.50,base(当前采纳),11,13,7543.9,26550,365,338,15,2,0,0
0.50,base(当前采纳),12,13,7666.2,25646,416,389,14,1,0,0
0.50,base(当前采纳),13,15,7644.4,27812,338,311,17,2,0,0
0.50,base(当前采纳),14,12,7749.8,27189,380,346,14,2,0,0
0.50,base(当前采纳),15,16,7450.2,27141,328,302,16,0,0,0
0.50,base(当前采纳),16,14,7438.1,25300,388,362,16,2,0,0
0.50,base(当前采纳),17,15,7042.1,25805,305,278,16,1,0,0
0.50,base(当前采纳),18,16,8961.5,32907,390,350,16,0,0,0
0.50,base(当前采纳),19,15,7384.0,26615,335,308,16,1,0,0
0.50,base(当前采纳),20,15,8888.6,33978,341,310,16,1,0,0
0.50,base(当前采纳),21,11,7177.1,23066,422,396,12,1,0,0
0.50,base(当前采纳),22,11,7417.9,25614,377,352,12,1,0,0
0.50,base(当前采纳),23,13,9053.7,32289,428,388,14,1,0,0
0.50,base(当前采纳),24,12,7903.3,27036,409,382,15,3,0,0
0.50,base(当前采纳),25,12,7552.6,25768,394,369,12,0,0,0
0.50,base(当前采纳),26,15,7660.9,26809,375,349,15,0,0,0
0.50,base(当前采纳),27,16,6806.1,25146,287,262,16,0,0,0
0.50,base(当前采纳),28,14,7775.9,28950,324,296,14,0,0,0
0.50,base(当前采纳),29,13,7451.2,27241,326,302,15,2,0,0
0.50,base(当前采纳),30,14,7708.5,26643,389,362,15,1,0,0
0.50,base(当前采纳),31,15,7717.8,26649,389,365,16,1,0,0
0.50,base(当前采纳),32,16,7807.8,29314,316,282,17,1,0,0
0.50,base(当前采纳),33,10,6969.1,23350,379,354,10,0,0,0
0.50,base(当前采纳),34,13,7946.8,29189,345,313,15,2,0,0
0.50,base(当前采纳),35,15,7610.6,27178,354,327,16,1,0,0
0.50,base(当前采纳),36,15,7217.1,25845,333,308,15,0,0,0
0.50,base(当前采纳),37,15,8215.2,30781,335,309,15,0,0,0
0.50,base(当前采纳),38,13,8411.7,29318,419,385,14,1,0,0
0.50,base(当前采纳),39,15,7760.6,28013,351,325,16,1,0,0
0.50,base(当前采纳),40,11,7759.1,26850,393,366,12,1,0,0
0.50,base(当前采纳),41,11,6953.9,23820,360,335,11,0,0,0
0.50,base(当前采纳),42,16,7438.1,27346,319,294,16,0,0,0
0.50,base(当前采纳),43,10,7738.3,26392,405,379,12,2,0,0
0.50,base(当前采纳),44,13,7963.4,28322,376,351,14,1,0,0
0.50,base(当前采纳),45,12,7259.5,25168,365,338,13,1,0,0
0.50,base(当前采纳),46,11,7849.6,25858,441,415,12,1,0,0
