极端场景压力测试: 每类 200 次
场景                              全清率     漏清例    平均(s)   P95(s)      最大(s)     漏清率95%上界
随机·全定向                       100.0%       0     9887    10720      13023        1.49%
随机·50%定向                     100.0%       0     9543    10173      10849        1.49%
随机·全向                        100.0%       0     9133     9762      10198        1.49%
上界16源·定向50%                  100.0%       0     9633    10379      11256        1.49%
下界10源·定向50%                  100.0%       0     9412    10097      10676        1.49%
最坏接收(全1000m)+定向50%           100.0%       0    10423    11660      12530        1.49%
边界外指(全)                      100.0%       0    10917    13119      14658        1.49%
边界切向(全)                      100.0%       0     9029     9836      10466        1.49%
近中心背向(全)                     100.0%       0     8979     9205       9550        1.49%
近简并双源(全)                     100.0%       0     9837    10503      11508        1.49%
合计漏清 0 例
