起点: 27 点格点块, 证书 不通过, 成本 6673 s (TSP 24120 m)
  [8] 新最优: 成本 6646 s, 27 点, TSP 23985 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 923 m)
  [9] 新最优: 成本 6635 s, 27 点, TSP 23929 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 923 m)
  [11] 新最优: 成本 6620 s, 27 点, TSP 23850 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [24] 新最优: 成本 6584 s, 27 点, TSP 23671 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [29] 新最优: 成本 6583 s, 27 点, TSP 23670 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [30] 新最优: 成本 6572 s, 27 点, TSP 23610 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [33] 新最优: 成本 6559 s, 27 点, TSP 23547 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 954 m)
  [51] 新最优: 成本 6555 s, 27 点, TSP 23527 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 954 m)
  [53] 新最优: 成本 6539 s, 27 点, TSP 23448 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [58] 新最优: 成本 6506 s, 27 点, TSP 23283 m, 证书不通过(支撑余量 6.2 m, 盘内最大边 959 m)
  [62] 新最优: 成本 6512 s, 27 点, TSP 23314 m, 证书通过(支撑余量 17.2 m, 盘内最大边 959 m)
  [74] 新最优: 成本 6512 s, 27 点, TSP 23311 m, 证书通过(支撑余量 17.2 m, 盘内最大边 954 m)
  [81] 新最优: 成本 6501 s, 27 点, TSP 23258 m, 证书通过(支撑余量 17.2 m, 盘内最大边 954 m)
  [83] 新最优: 成本 6500 s, 27 点, TSP 23254 m, 证书通过(支撑余量 17.2 m, 盘内最大边 954 m)
  [87] 新最优: 成本 6488 s, 27 点, TSP 23191 m, 证书通过(支撑余量 17.2 m, 盘内最大边 954 m)
  [90] 新最优: 成本 6464 s, 27 点, TSP 23075 m, 证书通过(支撑余量 17.2 m, 盘内最大边 954 m)
  [157] 新最优: 成本 6420 s, 27 点, TSP 22850 m, 证书通过(支撑余量 17.2 m, 盘内最大边 957 m)
  [160] 新最优: 成本 6419 s, 27 点, TSP 22848 m, 证书通过(支撑余量 17.2 m, 盘内最大边 957 m)
  [204] 新最优: 成本 6414 s, 27 点, TSP 22820 m, 证书通过(支撑余量 17.2 m, 盘内最大边 957 m)
  [214] 新最优: 成本 6413 s, 27 点, TSP 22820 m, 证书通过(支撑余量 17.2 m, 盘内最大边 957 m)
  [226] 新最优: 成本 6403 s, 27 点, TSP 22769 m, 证书通过(支撑余量 17.2 m, 盘内最大边 957 m)
  [242] 新最优: 成本 6402 s, 27 点, TSP 22763 m, 证书通过(支撑余量 17.2 m, 盘内最大边 959 m)
  [246] 新最优: 成本 6400 s, 27 点, TSP 22754 m, 证书通过(支撑余量 17.9 m, 盘内最大边 959 m)
  [264] 新最优: 成本 6397 s, 27 点, TSP 22737 m, 证书通过(支撑余量 17.9 m, 盘内最大边 959 m)
  [265] 新最优: 成本 6368 s, 27 点, TSP 22594 m, 证书通过(支撑余量 17.9 m, 盘内最大边 959 m)
  [275] 新最优: 成本 6327 s, 27 点, TSP 22388 m, 证书通过(支撑余量 17.9 m, 盘内最大边 959 m)
  [283] 新最优: 成本 6313 s, 27 点, TSP 22318 m, 证书通过(支撑余量 17.9 m, 盘内最大边 959 m)
  [294] 新最优: 成本 6289 s, 27 点, TSP 22197 m, 证书通过(支撑余量 17.9 m, 盘内最大边 957 m)
  [295] 新最优: 成本 6289 s, 27 点, TSP 22195 m, 证书通过(支撑余量 17.9 m, 盘内最大边 957 m)
  [305] 新最优: 成本 6263 s, 27 点, TSP 22067 m, 证书通过(支撑余量 17.9 m, 盘内最大边 957 m)
  [331] 新最优: 成本 6262 s, 27 点, TSP 22063 m, 证书通过(支撑余量 11.6 m, 盘内最大边 958 m)
  [361] 新最优: 成本 6242 s, 27 点, TSP 21964 m, 证书通过(支撑余量 11.6 m, 盘内最大边 958 m)
  [364] 新最优: 成本 6233 s, 27 点, TSP 21919 m, 证书通过(支撑余量 11.6 m, 盘内最大边 958 m)
  [371] 新最优: 成本 6233 s, 27 点, TSP 21918 m, 证书通过(支撑余量 11.6 m, 盘内最大边 958 m)
  [455] 新最优: 成本 6233 s, 27 点, TSP 21918 m, 证书通过(支撑余量 11.6 m, 盘内最大边 959 m)
  [460] 新最优: 成本 6222 s, 27 点, TSP 21861 m, 证书通过(支撑余量 11.6 m, 盘内最大边 959 m)
  [467] 新最优: 成本 6218 s, 27 点, TSP 21843 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [468] 新最优: 成本 6209 s, 27 点, TSP 21796 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [473] 新最优: 成本 6183 s, 27 点, TSP 21668 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [474] 新最优: 成本 6158 s, 27 点, TSP 21542 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [475] 新最优: 成本 6138 s, 27 点, TSP 21444 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [478] 新最优: 成本 6128 s, 27 点, TSP 21391 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [482] 新最优: 成本 6128 s, 27 点, TSP 21391 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [487] 新最优: 成本 6117 s, 27 点, TSP 21338 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [488] 新最优: 成本 6115 s, 27 点, TSP 21327 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [491] 新最优: 成本 6107 s, 27 点, TSP 21290 m, 证书通过(支撑余量 11.7 m, 盘内最大边 959 m)
  [493] 新最优: 成本 6107 s, 27 点, TSP 21290 m, 证书通过(支撑余量 11.7 m, 盘内最大边 960 m)
  [502] 新最优: 成本 6101 s, 27 点, TSP 21257 m, 证书通过(支撑余量 11.7 m, 盘内最大边 960 m)
  [1090] 新最优: 成本 6046 s, 28 点, TSP 20642 m, 证书通过(支撑余量 11.7 m, 盘内最大边 957 m)
  [1093] 新最优: 成本 6039 s, 28 点, TSP 20607 m, 证书通过(支撑余量 11.7 m, 盘内最大边 957 m)
  [1094] 新最优: 成本 6028 s, 28 点, TSP 20552 m, 证书通过(支撑余量 11.7 m, 盘内最大边 957 m)
  [1103] 新最优: 成本 6028 s, 28 点, TSP 20552 m, 证书通过(支撑余量 11.7 m, 盘内最大边 957 m)
  [1190] 新最优: 成本 6001 s, 28 点, TSP 20414 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1191] 新最优: 成本 5987 s, 28 点, TSP 20345 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1192] 新最优: 成本 5981 s, 28 点, TSP 20313 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1204] 新最优: 成本 5954 s, 28 点, TSP 20179 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1218] 新最优: 成本 5894 s, 28 点, TSP 19882 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1232] 新最优: 成本 5892 s, 28 点, TSP 19871 m, 证书通过(支撑余量 12.4 m, 盘内最大边 957 m)
  [1382] 新最优: 成本 5860 s, 27 点, TSP 20050 m, 证书通过(支撑余量 11.2 m, 盘内最大边 957 m)
  [1389] 新最优: 成本 5819 s, 27 点, TSP 19850 m, 证书通过(支撑余量 11.2 m, 盘内最大边 957 m)
  [1392] 新最优: 成本 5784 s, 27 点, TSP 19671 m, 证书通过(支撑余量 11.2 m, 盘内最大边 957 m)
  [1395] 新最优: 成本 5783 s, 27 点, TSP 19666 m, 证书通过(支撑余量 11.2 m, 盘内最大边 957 m)
