起点: 27 点格点块, 证书 通过, 成本 6673 s (TSP 24120 m)
  [0] 新最优: 成本 6661 s, 27 点, TSP 24056 m, 证书通过(支撑余量 6.2 m, 盘内最大边 956 m)
  [28] 新最优: 成本 6658 s, 28 点, TSP 23702 m, 证书通过(支撑余量 6.2 m, 盘内最大边 990 m)
  [32] 新最优: 成本 6651 s, 28 点, TSP 23664 m, 证书通过(支撑余量 6.2 m, 盘内最大边 990 m)
  [33] 新最优: 成本 6635 s, 28 点, TSP 23585 m, 证书通过(支撑余量 6.2 m, 盘内最大边 990 m)
  [35] 新最优: 成本 6617 s, 28 点, TSP 23496 m, 证书通过(支撑余量 6.2 m, 盘内最大边 999 m)
  [41] 新最优: 成本 6607 s, 28 点, TSP 23445 m, 证书通过(支撑余量 6.2 m, 盘内最大边 999 m)
  [140] 新最优: 成本 6607 s, 28 点, TSP 23445 m, 证书通过(支撑余量 6.2 m, 盘内最大边 996 m)
  [143] 新最优: 成本 6596 s, 28 点, TSP 23388 m, 证书通过(支撑余量 6.2 m, 盘内最大边 996 m)
  [148] 新最优: 成本 6505 s, 27 点, TSP 23280 m, 证书通过(支撑余量 6.2 m, 盘内最大边 996 m)
  [187] 新最优: 成本 6501 s, 27 点, TSP 23256 m, 证书通过(支撑余量 6.2 m, 盘内最大边 996 m)
  [204] 新最优: 成本 6495 s, 27 点, TSP 23228 m, 证书通过(支撑余量 6.2 m, 盘内最大边 996 m)
  [280] 新最优: 成本 6463 s, 27 点, TSP 23069 m, 证书通过(支撑余量 6.2 m, 盘内最大边 997 m)
  [351] 新最优: 成本 6461 s, 27 点, TSP 23058 m, 证书通过(支撑余量 13.1 m, 盘内最大边 998 m)
  [353] 新最优: 成本 6446 s, 27 点, TSP 22982 m, 证书通过(支撑余量 13.1 m, 盘内最大边 998 m)
  [452] 新最优: 成本 6441 s, 27 点, TSP 22958 m, 证书通过(支撑余量 12.7 m, 盘内最大边 993 m)
  [453] 新最优: 成本 6432 s, 27 点, TSP 22913 m, 证书通过(支撑余量 12.7 m, 盘内最大边 993 m)
  [454] 新最优: 成本 6424 s, 27 点, TSP 22872 m, 证书通过(支撑余量 12.7 m, 盘内最大边 993 m)
  [490] 新最优: 成本 6402 s, 27 点, TSP 22762 m, 证书通过(支撑余量 12.7 m, 盘内最大边 990 m)
  [493] 新最优: 成本 6396 s, 27 点, TSP 22731 m, 证书通过(支撑余量 12.7 m, 盘内最大边 990 m)
  [516] 新最优: 成本 6393 s, 27 点, TSP 22715 m, 证书通过(支撑余量 2.7 m, 盘内最大边 997 m)
  [524] 新最优: 成本 6392 s, 27 点, TSP 22715 m, 证书通过(支撑余量 2.7 m, 盘内最大边 997 m)
  [525] 新最优: 成本 6389 s, 27 点, TSP 22698 m, 证书通过(支撑余量 2.7 m, 盘内最大边 997 m)
  [594] 新最优: 成本 6383 s, 28 点, TSP 22325 m, 证书通过(支撑余量 2.7 m, 盘内最大边 992 m)
  [616] 新最优: 成本 6342 s, 28 点, TSP 22118 m, 证书通过(支撑余量 2.7 m, 盘内最大边 992 m)
  [618] 新最优: 成本 6336 s, 28 点, TSP 22091 m, 证书通过(支撑余量 2.7 m, 盘内最大边 992 m)
  [693] 新最优: 成本 6306 s, 28 点, TSP 21939 m, 证书通过(支撑余量 15.9 m, 盘内最大边 993 m)
  [697] 新最优: 成本 6303 s, 28 点, TSP 21924 m, 证书通过(支撑余量 15.9 m, 盘内最大边 993 m)
  [753] 新最优: 成本 6268 s, 27 点, TSP 22093 m, 证书通过(支撑余量 64.7 m, 盘内最大边 998 m)
  [756] 新最优: 成本 6253 s, 27 点, TSP 22016 m, 证书通过(支撑余量 64.7 m, 盘内最大边 998 m)
  [757] 新最优: 成本 6242 s, 27 点, TSP 21962 m, 证书通过(支撑余量 64.7 m, 盘内最大边 998 m)
  [815] 新最优: 成本 6242 s, 27 点, TSP 21960 m, 证书通过(支撑余量 64.7 m, 盘内最大边 995 m)
  [843] 新最优: 成本 6235 s, 27 点, TSP 21928 m, 证书通过(支撑余量 64.7 m, 盘内最大边 997 m)
  [848] 新最优: 成本 6235 s, 27 点, TSP 21926 m, 证书通过(支撑余量 64.7 m, 盘内最大边 997 m)
  [854] 新最优: 成本 6219 s, 27 点, TSP 21846 m, 证书通过(支撑余量 64.7 m, 盘内最大边 997 m)
  [862] 新最优: 成本 6209 s, 27 点, TSP 21796 m, 证书通过(支撑余量 64.7 m, 盘内最大边 997 m)
  [875] 新最优: 成本 6200 s, 27 点, TSP 21753 m, 证书通过(支撑余量 64.7 m, 盘内最大边 997 m)
  [882] 新最优: 成本 6193 s, 27 点, TSP 21718 m, 证书通过(支撑余量 64.7 m, 盘内最大边 998 m)
  [892] 新最优: 成本 6191 s, 27 点, TSP 21708 m, 证书通过(支撑余量 64.7 m, 盘内最大边 998 m)
  [919] 新最优: 成本 6172 s, 27 点, TSP 21611 m, 证书通过(支撑余量 65.0 m, 盘内最大边 996 m)
  [922] 新最优: 成本 6168 s, 27 点, TSP 21590 m, 证书通过(支撑余量 65.0 m, 盘内最大边 996 m)
  [932] 新最优: 成本 6166 s, 27 点, TSP 21582 m, 证书通过(支撑余量 65.0 m, 盘内最大边 996 m)
  [938] 新最优: 成本 6164 s, 27 点, TSP 21571 m, 证书通过(支撑余量 65.0 m, 盘内最大边 996 m)
  [941] 新最优: 成本 6160 s, 27 点, TSP 21554 m, 证书通过(支撑余量 65.0 m, 盘内最大边 996 m)
  [981] 新最优: 成本 6155 s, 27 点, TSP 21526 m, 证书通过(支撑余量 56.7 m, 盘内最大边 996 m)
  [984] 新最优: 成本 6154 s, 27 点, TSP 21524 m, 证书通过(支撑余量 48.0 m, 盘内最大边 996 m)
  [992] 新最优: 成本 6150 s, 27 点, TSP 21504 m, 证书通过(支撑余量 48.0 m, 盘内最大边 996 m)
  [1011] 新最优: 成本 6146 s, 27 点, TSP 21481 m, 证书通过(支撑余量 35.2 m, 盘内最大边 994 m)
  [1041] 新最优: 成本 6088 s, 27 点, TSP 21191 m, 证书通过(支撑余量 35.2 m, 盘内最大边 993 m)
  [1048] 新最优: 成本 6080 s, 27 点, TSP 21153 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1056] 新最优: 成本 6072 s, 27 点, TSP 21115 m, 证书通过(支撑余量 22.9 m, 盘内最大边 995 m)
  [1059] 新最优: 成本 6072 s, 27 点, TSP 21112 m, 证书通过(支撑余量 22.9 m, 盘内最大边 995 m)
  [1079] 新最优: 成本 6067 s, 27 点, TSP 21089 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1085] 新最优: 成本 6045 s, 27 点, TSP 20978 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1092] 新最优: 成本 6033 s, 27 点, TSP 20917 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1105] 新最优: 成本 6027 s, 27 点, TSP 20890 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1129] 新最优: 成本 6010 s, 27 点, TSP 20804 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1131] 新最优: 成本 6008 s, 27 点, TSP 20794 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1133] 新最优: 成本 6008 s, 27 点, TSP 20791 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1145] 新最优: 成本 5987 s, 27 点, TSP 20689 m, 证书通过(支撑余量 22.9 m, 盘内最大边 996 m)
  [1149] 新最优: 成本 5959 s, 27 点, TSP 20549 m, 证书通过(支撑余量 22.9 m, 盘内最大边 996 m)
  [1260] 新最优: 成本 5953 s, 27 点, TSP 20516 m, 证书通过(支撑余量 29.0 m, 盘内最大边 996 m)
  [1585] 新最优: 成本 5947 s, 27 点, TSP 20487 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1586] 新最优: 成本 5935 s, 27 点, TSP 20427 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1591] 新最优: 成本 5933 s, 27 点, TSP 20419 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1596] 新最优: 成本 5932 s, 27 点, TSP 20414 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1608] 新最优: 成本 5925 s, 27 点, TSP 20378 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1617] 新最优: 成本 5923 s, 27 点, TSP 20369 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1621] 新最优: 成本 5917 s, 27 点, TSP 20339 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1672] 新最优: 成本 5916 s, 27 点, TSP 20331 m, 证书通过(支撑余量 10.6 m, 盘内最大边 997 m)
  [1684] 新最优: 成本 5914 s, 27 点, TSP 20323 m, 证书通过(支撑余量 10.6 m, 盘内最大边 997 m)
  [1698] 新最优: 成本 5905 s, 27 点, TSP 20276 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1701] 新最优: 成本 5857 s, 27 点, TSP 20036 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1702] 新最优: 成本 5841 s, 27 点, TSP 19959 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1711] 新最优: 成本 5816 s, 27 点, TSP 19833 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1713] 新最优: 成本 5813 s, 27 点, TSP 19818 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1726] 新最优: 成本 5785 s, 27 点, TSP 19680 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1730] 新最优: 成本 5775 s, 27 点, TSP 19626 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1731] 新最优: 成本 5767 s, 27 点, TSP 19585 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1732] 新最优: 成本 5752 s, 27 点, TSP 19512 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1733] 新最优: 成本 5739 s, 27 点, TSP 19445 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1874] 新最优: 成本 5729 s, 27 点, TSP 19399 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
