=== 2opt + 无证书核 ===
极端场景压力测试: 每类 200 次
场景                              全清率     漏清例    平均(s)   P95(s)      最大(s)     漏清率95%上界
随机·全定向                       100.0%       0     9608    10517      11317        1.49%
随机·50%定向                     100.0%       0     9149     9796      10434        1.49%
随机·全向                        100.0%       0     8763     9297       9507        1.49%
上界16源·定向50%                  100.0%       0     9365    10086      11971        1.49%
下界10源·定向50%                  100.0%       0     9051     9681      10029        1.49%
最坏接收(全1000m)+定向50%           100.0%       0     9973    10929      11839        1.49%
边界外指(全)                      100.0%       0    11717    13927      15004        1.49%
边界切向(全)                      100.0%       0     8599     9583      10512        1.49%
近中心背向(全)                     100.0%       0     8720     8971       9316        1.49%
近简并双源(全)                     100.0%       0     9543    10360      11186        1.49%
合计漏清 0 例
